"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"1","1913/6","Balaenoptera physalus","Fin whale",58.67203558,-3.374386965,"Caithness, Scotland",1913,"08/07/1913"
"2","1913/14","Balaenoptera physalus","Fin whale",55.1446,-8.1907,"Donegal, EIRE",1913,"09/08/1913"
"3","1914/10","Balaenoptera physalus","Fin whale",51.7694,-10.1017,"Kerry, EIRE",1914,"28/02/1914"
"4","1914/45","Balaenoptera physalus","Fin whale",51.36929215,1.273171762,"Kent",1914,"18/10/1914"
"5","1914/49","Balaenoptera physalus","Fin whale",58.64474835,-3.025227303,"Caithness, Scotland",1914,"17/11/1914"
"6","1915/7","Balaenoptera physalus","Fin whale",55.34910612,-1.589941574,"Northumberland",1915,"12/05/1915"
"7","1916/3","Balaenoptera physalus","Fin whale",51.1310378,-4.236951266,"Devon",1916,"10/02/1916"
"8","1917/27","Balaenoptera physalus","Fin whale",49.89351553,-6.37286095,"Cornwall",1917,"13/10/1917"
"9","1918/11","Balaenoptera physalus","Fin whale",52.00607755,1.434622636,"Suffolk",1918,"10/04/1918"
"10","1918/15","Balaenoptera physalus","Fin whale",56.44766518,-2.374439336,"Angus, Scotland",1918,"03/07/1918"
"11","1918/33","Balaenoptera physalus","Fin whale",54.86813299,-3.39785374,"Cumberland",1918,"10/09/1918"
"12","1918/38","Balaenoptera physalus","Fin whale",55.3317,-7.1774,"Donegal, EIRE",1918,"19/10/1918"
"13","1919/3","Balaenoptera physalus","Fin whale",51.64228404,-4.80558615,"Pembroke, Wales",1919,"20/01/1919"
"14","1920/19","Balaenoptera physalus","Fin whale",57.24597384,-7.4308944,"Inverness-shire, Scotland",1920,"15/08/1920"
"15","1921/2","Balaenoptera physalus","Fin whale",57.68837069,-7.206371801,"Inverness-shire, Scotland",1921,"16/02/1921"
"16","1921/4","Balaenoptera physalus","Fin whale",53.3008,-9.8609,"Galway, EIRE",1921,"14/03/1921"
"17","1921/16","Balaenoptera physalus","Fin whale",54.29490263,-0.404952147,"Yorkshire",1921,"30/09/1921"
"18","1921/24","Balaenoptera physalus","Fin whale",51.04294485,-4.234130755,"Devon",1921,"26/12/1921"
"19","1922/1A","Balaenoptera physalus","Fin whale",NA,NA,"Suffolk",1922,NA
"20","1922/13","Balaenoptera physalus","Fin whale",49.4613,-2.6614,"Guernsey, Channel Isles",1922,"27/09/1922"
"21","1923/5","Balaenoptera physalus","Fin whale",59.12983872,-3.127933715,"Orkney Islands, Scotland",1923,"25/06/1923"
"22","1923/8","Balaenoptera physalus","Fin whale",58.44923419,-6.378107658,"Ross & Cromarty, Scotland",1923,"20/08/1923"
"23","1924/7","Balaenoptera physalus","Fin whale",50.60653882,-1.354103116,"Isle of Wight",1924,"16/05/1924"
"24","1924/12","Balaenoptera physalus","Fin whale",54.156,-5.8747,"Down, N.Ireland",1924,"02/06/1924"
"25","1925/21","Balaenoptera physalus","Fin whale",55.442,-5.1065,"Inverness-shire, Scotland",1925,"02/10/1925"
"26","1926/15","Balaenoptera physalus","Fin whale",50.5423,-5.0021,"Cornwall",1926,"28/06/1926"
"27","1929/36","Balaenoptera physalus","Fin whale",50.3356,-4.4484,"Cornwall",1929,"23/12/1929"
"28","1930/17","Balaenoptera physalus","Fin whale",50.3604,-4.3133,"Cornwall",1930,"02/07/1930"
"29","1932/3","Balaenoptera physalus","Fin whale",51.674,-4.6975,"Pembrokeshire, Wales",1932,"18/01/1932"
"30","1942/13","Balaenoptera physalus","Fin whale",NA,NA,"Inverness-shire, Scotland",1942,"25/11/1942"
"31","1943/2","Balaenoptera physalus","Fin whale",56.7872,-2.3561,"Kincardine, Scotland",1943,"12/01/1943"
"32","1943/3","Balaenoptera physalus","Fin whale",NA,NA,"Shetland Islands, Scotland",1943,NA
"33","1944/3","Balaenoptera physalus","Fin whale",50.3336,-5.1862,"Cornwall",1944,"17/02/1944"
"34","1944/22","Balaenoptera physalus","Fin whale",54.5737,-0.899,"Yorkshire",1944,"17/12/1944"
"35","1948/2","Balaenoptera physalus","Fin whale",50.0035,-5.1125,"Cornwall",1948,"16/03/1948"
"36","1949/15","Balaenoptera physalus","Fin whale",60.3766,-1.1317,"Shetland Islands, Scotland",1949,"16/07/1949"
"37","1962/19","Balaenoptera physalus","Fin whale",51.80845413,1.018175852,"Essex",1962,"30/09/1962"
"38","1968/2","Balaenoptera physalus","Fin whale",57.44688431,-7.301960441,"Inverness-shire, Scotland",1968,"25/02/1968"
"39","1981/36","Balaenoptera physalus","Fin whale",59.36066989,-2.89719738,"Orkney Islands, Scotland",1981,"12/09/1981"
"40","1984/33","Balaenoptera physalus","Fin whale",50.83577661,0.471385114,"Sussex",1984,"23/11/1984"
"41","1985/39","Balaenoptera physalus","Fin whale",53.41154186,-2.977985367,"Merseyside",1985,"16/07/1985"
"42","1988/82","Balaenoptera physalus","Fin whale",57.99967036,-7.097361009,"Western Isles, Scotland",1988,"22/12/1988"
"43","SW1990/5","Balaenoptera physalus","Fin whale",50.95011724,0.9687484,"Kent",1990,"19/01/1990"
"44","SW1990/69","Balaenoptera physalus","Fin whale",51.93290952,1.3198852,"Suffolk",1990,"02/09/1990"
"45","SW1991/13","Balaenoptera physalus","Fin whale",50.08777627,-5.5320758,"Cornwall",1991,"13/01/1991"
"46","SW1992/13","Balaenoptera physalus","Fin whale",54.09961396,-0.1570168,"East Riding of Yorkshire",1992,"04/02/1992"
"47","SW1994/165","Balaenoptera physalus","Fin whale",51.75477702,-5.1908383,"Pembrokeshire",1994,"27/10/1994"
"48","SW1995/105","Balaenoptera physalus","Fin whale",51.44674,0.7446339,"Kent",1995,"23/08/1995"
"49","SW1995/127","Balaenoptera physalus","Fin whale",51.53909683,0.905972,"Essex",1995,"27/10/1995"
"50","SW1999/213","Balaenoptera physalus","Fin whale",57.73388889,-7.0702778,"Western Isles",1999,"30/11/1999"
"51","SW2000/138","Balaenoptera physalus","Fin whale",51.41404739,0.906661,"Kent",2000,"23/07/2000"
"52","SW2000/150","Balaenoptera physalus","Fin whale",51.54593832,-4.1750256,"Swansea",2000,"08/09/2000"
"53","SW2000/155","Balaenoptera physalus","Fin whale",50.70131081,-2.7406673,"Dorset",2000,"18/09/2000"
"54","SW2000/200","Balaenoptera physalus","Fin whale",54.04584496,-2.9088086,"Lancashire",2000,"27/11/2000"
"55","SW2004/54b","Balaenoptera physalus","Fin whale",56.59435176,-6.6550119,"Argyll and Bute",2004,"01/02/2004"
"56","SW2004/228","Balaenoptera physalus","Fin whale",53.68982832,-3.7901963,"At sea",2004,"19/07/2004"
"57","SW2004/240","Balaenoptera physalus","Fin whale",50.75894682,-1.1393156,"Hampshire",2004,"01/08/2004"
"58","SW2004/286","Balaenoptera physalus","Fin whale",51.52857284,-2.9991079,"Newport",2004,"23/09/2004"
"59","SW2004/303a","Balaenoptera physalus","Fin whale",60.61608392,-1.4116735,"Shetland",2004,"04/10/2004"
"60","SW2004/328a","Balaenoptera physalus","Fin whale",50.38014496,-3.4966506,"Torbay",2004,"28/10/2004"
"61","SW2004/331a","Balaenoptera physalus","Fin whale",50.08920292,-5.688539,"Cornwall",2004,"31/10/2004"
"62","SW2005/278","Balaenoptera physalus","Fin whale",50.71281768,-1.1047467,"Isle of Wight",2005,"19/11/2005"
"63","SW2006/94e","Balaenoptera physalus","Fin whale",54.80926806,-4.2128835,"Dumfries and Galloway",2006,"21/03/2006"
"64","SW2006/280","Balaenoptera physalus","Fin whale",50.92918201,0.7965993,"East Sussex",2006,"16/11/2006"
"65","SW2006/281","Balaenoptera physalus","Fin whale",51.43872325,0.7412746,"Kent",2006,"19/11/2006"
"66","SW2007/30j","Balaenoptera physalus","Fin whale",58.7722775,-3.2330626,"Orkney",2007,"31/01/2007"
"67","SW2007/214a","Balaenoptera physalus","Fin whale",58.22872032,-5.3775633,"Highland",2007,"30/10/2007"
"68","SW2007/216","Balaenoptera physalus","Fin whale",53.74155456,-0.3046643,"City of Kingston upon Hull",2007,"01/11/2007"
"69","SW2008/2d","Balaenoptera physalus","Fin whale",58.91788514,-2.7536992,"Orkney",2008,"05/01/2008"
"70","SW2008/20d","Balaenoptera physalus","Fin whale",50.06830446,-5.0788539,"Cornwall",2008,"09/02/2008"
"71","SW2009/403","Balaenoptera physalus","Fin whale",54.09388889,-2.8263889,"Lancashire",2009,"04/12/2009"
"72","SW2010/57","Balaenoptera physalus","Fin whale",50.17972222,-5.7294444,"Cornwall",2010,"16/02/2010"
"73","SW2011/347","Balaenoptera physalus","Fin whale",51.23611111,-3.8383333,"Devon",2011,"09/08/2011"
"74","SW2011/405","Balaenoptera physalus","Fin whale",53.62805556,-0.1786111,"North East Lincolnshire",2011,"06/09/2011"
"75","SW2011/448","Balaenoptera physalus","Fin whale",57.35144167,-7.4010028,"Western Isles",2011,"04/10/2011"
"76","SW2012/315","Balaenoptera physalus","Fin whale",50.81833333,-1.1219444,"City of Portsmouth",2012,"01/08/2012"
"77","SW2012/325","Balaenoptera physalus","Fin whale",50.33722222,-4.7311111,"Cornwall",2012,"13/08/2012"
"78","SW2012/357","Balaenoptera physalus","Fin whale",50.35,-4.2636111,"Cornwall",2012,"24/08/2012"
"79","SW2012/420","Balaenoptera physalus","Fin whale",52.03333333,1.4544444,"Suffolk",2012,"30/09/2012"
"80","SW2012/459","Balaenoptera physalus","Fin whale",50.59861111,-2.0980556,"Dorset",2012,"28/10/2012"
"81","SW2013/84","Balaenoptera physalus","Fin whale",54.87416667,-4.3775,"Dumfries and Galloway",2013,"17/02/2013"
"82","SW2013/583","Balaenoptera physalus","Fin whale",53.29527778,-3.585,"Conwy",2013,"09/12/2013"
"83","SW2015/189","Balaenoptera physalus","Fin whale",51.94833333,1.2513889,"Essex",2015,"14/06/2015"
"84","SW2015/470","Balaenoptera physalus","Fin whale",55.17361111,-6.7425,"Derry",2015,"05/10/2015"
"85","SW2015/359","Balaenoptera physalus","Fin whale",51.39083333,1.4316667,"Kent",2015,"14/10/2015"
"86","SW2015/400","Balaenoptera physalus","Fin whale",53.557344,-0.019809,"North East Lincolnshire",2015,"26/11/2015"
"87","1914/44","Balaenoptera borealis","Sei whale",58.60833078,-3.671429589,"Caithness, Scotland",1914,"21/09/1914"
"88","1925/3","Balaenoptera borealis","Sei whale",51.58423823,-2.715959725,"Monmouth, Wales",1925,"17/02/1925"
"89","1925/7","Balaenoptera borealis","Sei whale",54.06241832,-4.613157313,"Isle of Man",1925,"07/05/1925"
"90","1929/30","Balaenoptera borealis","Sei whale",59.3530977,-2.901218914,"Orkney Islands, Scotland",1929,"03/10/1929"
"91","1948/21A","Balaenoptera borealis","Sei whale",51.78342382,1.162694081,"Essex",1948,"12/09/1948"
"92","1949/17","Balaenoptera borealis","Sei whale",57.62545436,-1.866039953,"Aberdeenshire, Scotland",1949,"20/07/1949"
"93","1965/21","Balaenoptera borealis","Sei whale",57.87570618,-6.932835535,"Western Isles, Scotland",1965,"04/09/1965"
"94","1971/7","Balaenoptera borealis","Sei whale",52.60187539,1.721916213,"Norfolk",1971,"16/07/1971"
"95","1975/9","Balaenoptera borealis","Sei whale",58.32731279,-6.646844867,"Ross & Cromarty, Scotland",1975,"16/05/1975"
"96","1980/30","Balaenoptera borealis","Sei whale",53.98759642,-2.884660159,"Lancashire",1980,"05/09/1980"
"97","1989/62","Balaenoptera borealis","Sei whale",50.17784932,-5.018647038,"Cornwall",1989,"03/08/1989"
