"","Year","Richness"
"1",1913,2
"2",1914,2
"3",1915,1
"4",1916,3
"5",1917,2
"6",1918,1
"7",1919,1
"8",1920,2
"9",1921,1
"10",1922,1
"11",1923,2
"12",1924,1
"13",1925,2
"14",1926,1
"15",1929,2
"16",1930,1
"17",1932,1
"18",1934,1
"19",1936,1
"20",1937,1
"21",1938,1
"22",1942,1
"23",1943,1
"24",1944,1
"25",1946,1
"26",1948,2
"27",1949,2
"28",1952,1
"29",1955,1
"30",1958,1
"31",1962,1
"32",1963,1
"33",1965,1
"34",1966,1
"35",1967,1
"36",1968,2
"37",1971,1
"38",1973,1
"39",1974,1
"40",1975,2
"41",1977,1
"42",1979,1
"43",1980,2
"44",1981,1
"45",1982,1
"46",1983,1
"47",1984,2
"48",1985,3
"49",1986,1
"50",1987,1
"51",1988,2
"52",1989,2
"53",1990,3
"54",1991,2
"55",1992,2
"56",1993,1
"57",1994,2
"58",1995,2
"59",1996,1
"60",1997,1
"61",1998,1
"62",1999,2
"63",2000,2
"64",2001,3
"65",2002,1
"66",2003,1
"67",2004,3
"68",2005,2
"69",2006,3
"70",2007,3
"71",2008,2
"72",2009,3
"73",2010,3
"74",2011,3
"75",2012,4
"76",2013,4
"77",2014,2
"78",2015,3
