YEAR ,UK,KERRY ,SLIGO ,INVERCLYDE,ANGELSEY,
1991,57438658,121894,54756,84150,69123,
1996,58164374,126130,55821,87060,68592,
2002,59318779,132527,58200,83730,67862,
2006,60584338,139835,60894,82302,68647,
2011,63260000,145502,65393,81220,69913,
2016,65640000,147707,65535,79160,69700,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,2007,60985677,,,,
,2008,61398226,,,,
,2009,61791956,,,,
