"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"1","1916/5","Orcinus orca","Killer whale",54.86824121,-3.737613736,"Kirkcudbrightshire, Scotland",1916,"23/05/1916"
"2","1918/9","Orcinus orca","Killer whale",54.98818262,-7.620351091,"Donegal, EIRE",1918,"03/03/1918"
"3","1918/10","Orcinus orca","Killer whale",50.80117032,-0.50980823,"Sussex",1918,"03/04/1918"
"4","1918/12","Orcinus orca","Killer whale",50.91138997,0.934977418,"Kent",1918,"15/04/1918"
"5","1924/15","Orcinus orca","Killer whale",50.33425072,-4.237248863,"Cornwall",1924,"09/07/1924"
"6","1926/9","Orcinus orca","Killer whale",51.32427587,1.40062211,"Kent",1926,"24/03/1926"
"7","1926/44","Orcinus orca","Killer whale",52.47481855,1.757136877,"Suffolk",1926,"21/11/1926"
"8","1927/2","Orcinus orca","Killer whale",50.26120929,-5.29478871,"Cornwall",1927,"09/01/1927"
"9","1927/28","Orcinus orca","Killer whale",57.18895588,-7.421505682,"Western Isles, Scotland",1927,"23/09/1927"
"10","1927/35","Orcinus orca","Killer whale",54.28130246,-0.382740752,"Yorkshire",1927,"12/11/1927"
"11","1932/13","Orcinus orca","Killer whale",56.10341765,-3.797036202,"Clackmannanshire, Scotland",1932,"21/03/1932"
"12","1932/63","Orcinus orca","Killer whale",59.52482757,-1.609332636,"Shetland Islands, Scotland",1932,"14/12/1932"
"13","1935/14","Orcinus orca","Killer whale",50.81723217,-0.13787537,"Sussex",1935,"21/05/1935"
"14","1937/27","Orcinus orca","Killer whale",60.16142458,-1.351347943,"Shetland Islands, Scotland",1937,"16/09/1937"
"15","1941/5","Orcinus orca","Killer whale",54.72005796,-3.498653842,"Cumberland",1941,"19/03/1941"
"16","1941/8","Orcinus orca","Killer whale",56.46886793,-2.766184619,"Angus, Scotland",1941,"16/04/1941"
"17","1941/11","Orcinus orca","Killer whale",56.34186721,-2.786288069,"Fife, Scotland",1941,"16/05/1941"
"18","1941/28","Orcinus orca","Killer whale",53.14618352,0.37888514,"Lincolnshire",1941,"23/12/1941"
"19","1942/11","Orcinus orca","Killer whale",54.07393932,-0.189033494,"Yorkshire",1942,"07/09/1942"
"20","1943/9","Orcinus orca","Killer whale",56.80391315,-2.344573779,"Kincardineshire, Scotland",1943,"03/07/1943"
"21","1943/10","Orcinus orca","Killer whale",57.17847032,-2.079403281,"Aberdeenshire, Scotland",1943,"04/07/1943"
"23","1943/11","Orcinus orca","Killer whale",55.1316378,-1.498058773,"Northumberland",1943,"10/07/1943"
"24","1943/24","Orcinus orca","Killer whale",52.6823609,-9.654840122,"Clare, EIRE",1943,"30/12/1943"
"25","1944/2","Orcinus orca","Killer whale",60.68003881,-0.901539916,"Shetland Islands, Scotland",1944,"15/02/1944"
"26","1944/21A","Orcinus orca","Killer whale",55.14126784,-8.100897108,"Donegal, EIRE",1944,"11/12/1944"
"27","1944/23","Orcinus orca","Killer whale",55.28333,-1.5333,"Northumberland",1944,"25/12/1944"
"28","1945/20","Orcinus orca","Killer whale",57.33037715,-7.364497081,"Western Isles, Scotland",1945,"15/10/1945"
"29","1954/17","Orcinus orca","Killer whale",53.93667289,-10.04012953,"Mayo, EIRE",1954,NA
"30","1956/3","Orcinus orca","Killer whale",54.55235154,-3.595181513,"Cumberland",1956,"11/01/1956"
"31","1957/29","Orcinus orca","Killer whale",53.09479611,0.340195851,"Lincolnshire",1957,"19/10/1957"
"32","1958/12","Orcinus orca","Killer whale",54.82815405,-5.760827063,"Antrim, N.Ireland",1958,"27/12/1958"
"33","1961/10","Orcinus orca","Killer whale",56.19118559,-2.741302946,"Fifeshire, Scotland",1961,"11/07/1961"
"34","1963/11","Orcinus orca","Killer whale",58.24364001,-7.026603573,"Western Isles, Scotland",1963,"08/04/1963"
"35","1963/34","Orcinus orca","Killer whale",51.86035008,1.257584347,"Essex",1963,"20/09/1963"
"36","1965/7","Orcinus orca","Killer whale",60.78548763,-0.799473349,"Shetland Islands, Scotland",1965,"27/03/1965"
"37","1965/16","Orcinus orca","Killer whale",52.4125749,-4.103306655,"Cardiganshire, Wales",1965,"01/08/1965"
"38","1966/7","Orcinus orca","Killer whale",60.80522429,-0.869683134,"Shetland Islands, Scotland",1966,"07/02/1966"
"39","1966/24","Orcinus orca","Killer whale",57.68777324,-2.501872769,"Banffshire, Scotland",1966,"15/08/1966"
