"","Year","Richness"
"1",1913,2
"2",1914,1
"3",1915,1
"4",1916,3
"5",1917,2
"6",1918,3
"7",1919,1
"8",1922,2
"9",1923,1
"10",1924,2
"11",1925,2
"12",1926,3
"13",1927,3
"14",1928,1
"15",1929,1
"16",1930,2
"17",1931,2
"18",1932,3
"19",1933,1
"20",1934,2
"21",1935,2
"22",1936,2
"23",1937,2
"24",1938,2
"25",1939,2
"26",1940,1
"27",1941,3
"28",1942,3
"29",1943,3
"30",1944,3
"31",1945,2
"32",1946,2
"33",1947,2
"34",1948,2
"35",1949,1
"36",1950,1
"37",1951,2
"38",1952,2
"39",1953,2
"40",1954,3
"41",1955,1
"42",1956,3
"43",1957,2
"44",1958,2
"45",1959,2
"46",1960,2
"47",1961,2
"48",1962,2
"49",1963,2
"50",1964,2
"51",1965,3
"52",1966,3
"53",1967,2
"54",1968,3
"55",1969,3
"56",1970,2
"57",1971,3
"58",1972,3
"59",1973,3
"60",1974,1
"61",1975,3
"62",1976,3
"63",1977,2
"64",1978,3
"65",1979,1
"66",1980,2
"67",1981,3
"68",1982,2
"69",1983,3
"70",1984,2
"71",1985,2
"72",1986,2
"73",1987,2
"74",1988,2
"75",1989,2
"76",1990,1
"77",1991,1
"78",1992,1
"79",1993,2
"80",1994,3
"81",1995,3
"82",1996,2
"83",1997,2
"84",1998,2
"85",1999,2
"86",2000,2
"87",2001,3
"88",2002,2
"89",2003,3
"90",2004,2
"91",2005,3
"92",2006,2
"93",2007,3
"94",2008,3
"95",2009,2
"96",2010,1
"97",2011,3
"98",2012,3
"99",2013,1
"100",2014,3
"101",2015,2
