"","Year","Richness"
"1",1913,2
"2",1914,2
"3",1915,2
"4",1916,3
"5",1917,2
"6",1918,2
"7",1919,2
"8",1920,2
"9",1921,1
"10",1922,2
"11",1923,2
"12",1924,2
"13",1925,3
"14",1926,2
"15",1927,1
"16",1928,1
"17",1929,3
"18",1930,2
"19",1931,1
"20",1932,2
"21",1933,1
"22",1934,1
"23",1935,1
"24",1936,1
"25",1938,1
"26",1939,1
"27",1940,1
"28",1941,1
"29",1942,2
"30",1943,2
"31",1944,2
"32",1945,1
"33",1946,1
"34",1947,1
"35",1948,3
"36",1949,2
"37",1950,1
"38",1951,1
"39",1952,1
"40",1953,1
"41",1954,1
"42",1956,1
"43",1957,1
"44",1959,1
"45",1960,1
"46",1961,1
"47",1962,2
"48",1963,1
"49",1964,1
"50",1965,2
"51",1966,1
"52",1967,1
"53",1968,2
"54",1969,1
"55",1970,1
"56",1971,2
"57",1972,1
"58",1973,1
"59",1974,1
"60",1975,2
"61",1976,1
"62",1977,1
"63",1978,1
"64",1979,1
"65",1980,2
"66",1981,2
"67",1982,2
"68",1983,1
"69",1984,2
"70",1985,3
"71",1986,1
"72",1988,2
"73",1989,2
"74",1990,3
"75",1991,2
"76",1992,2
"77",1993,1
"78",1994,2
"79",1995,2
"80",1996,1
"81",1997,1
"82",1998,1
"83",1999,2
"84",2000,2
"85",2001,3
"86",2002,1
"87",2003,1
"88",2004,3
"89",2005,2
"90",2006,3
"91",2007,3
"92",2008,2
"93",2009,3
"94",2010,3
"95",2011,3
"96",2012,4
"97",2013,4
"98",2014,2
"99",2015,3
