Area ,Year ,Balaenoptera musculus ,Balaenoptera physalus ,Megaptera novaeangliae,Balaenoptera borealis,Physeter macrocephalus,Others ,Eubalaena glacialis,Hyperoodon ampullatus,Balaenoptera acutorostrata,Total catch ,Notes 
Scotland and Ireland + Iceland ,1910,21,381,11,190,6,115,9,1,0,1383,
Scotland and Ireland + Iceland ,1911,25,537,5,134,19,340,0,2,0,1062,
Scotland and Ireland + Iceland ,1912,12,292,0,108,8,59,0,3,0,528,
Scotland and Ireland + Norway + Iceland,1913,35,462,8,181,22,11,2,9,0,730,
Scotland and Ireland + Iceland ,1914,34,344,2,248,0,89,5,0,0,722,
North Atlantic and Arctic (Norway),1915,37,251,0,0,0,152,0,0,0,440,
North Atlantic and Arctic (Norway),1916,3,77,0,6,1,0,0,1,0,88,
NA,1917,0,0,0,0,0,0,0,0,0,0,
North Atlantic and Arctic (Norway),1918,3,605,1,154,0,0,0,0,0,763,
North Atlantic and Arctic (Norway),1919,0,477,3,305,0,0,0,0,0,785,
Scotland and Ireland + Norway ,1920,66,557,1,435,12,0,1,1,0,1073,
North Atlantic and Arctic (Norway),1921,1,37,0,85,0,0,0,0,0,123,
Scotland and Ireland + Norway,1922,29,399,0,143,3,0,0,0,0,574,
Scotland  + Norway,1923,25,459,0,347,0,0,2,0,0,558,
Scotland  + Norway,1924,67,773,1,188,14,0,0,0,0,1043,
Scotland  + Norway,1925,39,641,0,266,13,0,0,0,0,959,
Scotland  + Norway,1926,36,776,3,209,6,0,0,0,0,1031,
Scotland  + Norway,1927,4,620,0,154,16,0,0,0,0,794,
Scotland + Norway,1928,10,566,2,168,12,0,0,0,0,758,
Scotland  + Norway,1929,6,221,2,125,5,0,0,0,0,374,
North Atlantic + Arctic + Pelagic + Norway ,1930,64,681,54,61,5,0,0,0,28,893,
North Atlantic + Arctic + Pelagic + Norway ,1931,52,456,39,8,0,0,0,0,0,555,
North Atlantic + Arctic + Pelagic + Norway ,1932,61,633,10,83,6,0,4,0,0,797,
North Atlantic + Arctic + Pelagic + Norway ,1933,50,746,8,22,50,0,0,0,0,876,
North Atlantic + Arctic + Pelagic + Norway ,1934,0,260,3,172,4,0,0,0,0,460,
Norway + Iceland ,1935,3,131,0,109,4,6,0,0,0,253,
Norway + Iceland ,1936,9,219,0,155,24,9,0,0,0,416,
Norway + Iceland ,1937,10,279,1,55,41,35,0,0,0,421,
Norway + Iceland ,1938,11,374,0,99,29,27,0,0,0,542,
Norway + Iceland ,1939,17,391,2,49,18,3,0,0,0,480,
NA,1940,0,0,0,0,0,0,0,0,0,0,
Norway,1941,1,6,0,49,5,0,0,0,0,61,
North Atlantic and Arctic (Norway),1942,1,58,1,48,2,0,0,0,0,110,
North Atlantic and Arctic (Norway),1943,0,110,2,45,6,0,0,0,0,163,
North Atlantic and Arctic (Norway),1944,0,112,0,31,4,0,0,0,0,147,
North Atlantic and Arctic (Norway),1945,3,158,0,27,4,0,0,0,0,192,
North Atlantic and Arctic (Norway),1946,17,392,0,11,21,0,0,0,0,441,
North Atlantic and Arctic (Norway),1947,11,285,0,12,16,0,0,0,0,324,
North Atlantic and Arctic (Norway),1948,2,260,0,35,47,0,0,0,0,344,
North Atlantic and Arctic (Norway),1949,4,342,1,6,20,0,0,1,0,374,
Norway + Iceland + Scotland ,1950,33,601,8,3,90,0,0,0,0,735,
Norway + Iceland + Scotland ,1951,19,646,6,16,90,0,0,0,0,777,
Norway + Iceland ,1952,15,598,2,49,53,0,0,0,0,717,
Norway + Iceland ,1953,12,482,6,118,92,0,0,0,2,712,
Norway + Iceland,1954,11,447,7,113,148,0,0,0,0,726,
Norway + Iceland,1955,11,446,1,140,64,0,0,0,0,666,
Norway + Iceland,1956,0,397,0,88,153,0,0,0,0,646,
Norway + Iceland,1957,10,487,0,79,111,0,0,0,0,687,
Norway + Iceland,1958,5,412,0,97,215,0,0,0,1,730,
Norway + Iceland,1959,6,358,0,71,151,0,0,0,0,586,
Norway + Iceland,1960,0,288,0,44,261,0,0,0,0,593,
Norway + Iceland,1961,0,304,0,64,238,0,0,0,0,606,
Norway + Iceland,1962,1,448,0,47,227,0,0,0,0,723,
Norway + Iceland,1963,0,325,0,20,243,0,0,0,0,588,
Norway + Iceland,1964,1,255,0,89,187,0,0,0,0,532,
Norway + Iceland,1965,0,394,0,74,97,0,0,0,0,565,
Norway + Iceland,1966,0,364,0,42,122,0,0,0,0,528,
Norway + Iceland,1967,0,273,0,48,141,0,0,0,0,462,
Norway + Iceland,1968,0,278,0,3,76,0,0,0,0,357,
Norway + Iceland,1969,0,267,0,70,114,0,0,0,0,551,
Norway + Iceland,1970,0,316,0,44,112,0,0,0,0,472,
Norway + Iceland,1971,0,245,0,240,168,0,0,0,0,653,
North Atlantic and Arctic (Iceland),1972,0,238,0,132,76,0,0,0,0,446,
North Atlantic and Arctic (Iceland),1973,0,267,0,139,47,0,0,0,0,453,
North Atlantic and Arctic (Iceland),1974,0,285,0,9,71,0,0,0,0,365,
North Atlantic and Arctic (Iceland),1975,0,245,0,138,37,0,0,0,0,420,
North Atlantic and Arctic (Iceland),1976,0,275,0,3,111,0,0,0,0,389,
North Atlantic and Arctic (Iceland),1977,0,144,0,132,110,0,0,0,0,386,
North Atlantic and Arctic (Iceland),1978,0,236,0,14,141,0,0,0,0,391,
North Atlantic and Arctic (Iceland),1979,0,260,0,84,96,0,0,0,0,440,
North Atlantic and Arctic (Iceland),1980,0,236,0,100,101,0,0,0,0,437,
North Atlantic and Arctic (Iceland),1981,0,254,0,100,43,0,0,0,0,397,
North Atlantic and Arctic (Iceland),1982,0,194,0,71,87,0,0,0,0,352,
North Atlantic and Arctic (Iceland),1983,0,144,0,100,0,0,0,0,0,244,
North Atlantic and Arctic (Iceland),1984,0,167,0,95,0,0,0,0,0,262,
Norway + Iceland,1985,0,161,0,38,0,0,0,0,916,1115,
Norway + Iceland,1986,0,76,0,40,0,0,0,0,339,495,Special permit 
Norway + Iceland,1987,0,80,0,20,0,0,0,0,375,475,Special permit 
Norway + Iceland,1988,0,68,0,10,0,0,0,0,29,107,Special permit 
Norway + Iceland,1989,0,68,0,0,0,0,0,0,17,85,Special permit 
North Atlantic and Arctic (Norway),1990,0,0,0,0,0,0,0,0,5,5,Special permit 
North Atlantic and Arctic (Norway),1991,0,0,0,0,0,0,0,0,1,1,Special permit 
North Atlantic and Arctic (Norway),1992,0,0,0,0,0,0,0,0,95,95,Special permit 
North Atlantic and Arctic (Norway),1993,0,0,0,0,0,0,0,0,226,226,Special permit 
North Atlantic and Arctic (Norway),1994,0,0,0,0,0,0,0,0,280,280,Special permit 
