"","Year","Richness"
"1",1913,6
"2",1914,6
"3",1915,3
"4",1916,4
"5",1917,3
"6",1918,5
"7",1919,3
"8",1920,5
"9",1921,3
"10",1922,4
"11",1923,5
"12",1924,3
"13",1925,3
"14",1926,6
"15",1927,8
"16",1928,3
"17",1929,3
"18",1930,2
"19",1931,3
"20",1932,7
"21",1933,7
"22",1934,4
"23",1935,8
"24",1936,4
"25",1937,3
"26",1938,4
"27",1939,2
"28",1940,1
"29",1941,4
"30",1943,6
"31",1944,6
"32",1945,2
"33",1946,6
"34",1947,2
"35",1948,3
"36",1949,8
"37",1950,4
"38",1951,5
"39",1952,5
"40",1953,2
"41",1954,3
"42",1955,4
"43",1956,5
"44",1957,3
"45",1958,1
"46",1959,1
"47",1960,3
"48",1961,3
"49",1962,3
"50",1963,5
"51",1964,6
"52",1965,5
"53",1966,6
"54",1967,7
"55",1968,7
"56",1969,8
"57",1970,7
"58",1971,5
"59",1972,5
"60",1973,6
"61",1974,2
"62",1975,5
"63",1976,6
"64",1977,5
"65",1978,9
"66",1979,4
"67",1980,4
"68",1981,10
"69",1982,8
"70",1983,12
"71",1984,6
"72",1985,9
"73",1986,7
"74",1987,9
"75",1988,11
"76",1989,10
"77",1990,8
"78",1991,7
"79",1992,11
"80",1993,12
"81",1994,14
"82",1995,12
"83",1996,12
"84",1997,11
"85",1998,11
"86",1999,13
"87",2000,12
"88",2001,13
"89",2002,11
"90",2003,12
"91",2004,14
"92",2005,14
"93",2006,13
"94",2007,17
"95",2008,15
"96",2009,13
"97",2010,11
"98",2011,16
"99",2012,16
"100",2013,13
"101",2014,17
"102",2015,14
