"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"1","1913/3","Lagenorhynchus acutus","White-sided dolphin",60.44977781,-1.605549405,"Fair Isle, Shetland Isles",1913,"06/03/1913"
"2","1913/6","Balaenoptera physalus","Fin whale",58.67203558,-3.374386965,"Caithness, Scotland",1913,"08/07/1913"
"3","1913/7","Unknown","Unknown",57.59815056,-3.762044958,"Ross & Cromarty, Scotland",1913,"25/07/1913"
"4","1913/20","Balaenoptera acutorostrata","Minke whale",57.34539911,-1.93353066,"Aberdeen, Scotland",1913,"24/08/1913"
"5","1913/22","Phocoena phocoena","Harbour porpoise",60.44977781,-1.605549405,"Shetland Isles, Scotland",1913,"28/08/1913"
"6","1913/32","Unknown odontocete","Unknown odontocete",55.50285538,-1.613678014,"Northumberland",1913,"19/09/1913"
"7","1913/35","Balaenoptera acutorostrata","Minke whale",56.55343565,-2.580797076,"Angus, Scotland",1913,"26/09/1913"
"8","1913/52","Unknown","Unknown",55.87366482,-2.087908516,"Berwick, Scotland",1913,"06/10/1913"
"9","1913/55","Balaenoptera acutorostrata","Minke whale",57.66819516,-7.344552614,"Inverness, Scotland",1913,"10/10/1913"
"10","1913/61","Lagenorhynchus albirostris","White-beaked dolphin",55.86063208,-6.32357187,"Argyll, Scotland",1913,"15/10/1913"
"11","1913/65","Balaenoptera acutorostrata","Minke whale",56.26033202,-2.61832577,"Fife, Scotland",1913,"31/10/1913"
"12","1913/76","Physeter macrocephalus","Sperm whale",57.58633013,-4.067650645,"Inverness, Scotland",1913,"18/12/1913"
"13","1914/12","Globicephala melas","Long-finned pilot whale",55.53887774,-1.6386808,"Northumberland",1914,"03/03/1914"
"14","1914/17A","Delphinus delphis","Common dolphin",57.47465806,-4.289866843,"Inverness, Scotland",1914,"12/04/1914"
"15","1914/20A","Hyperoodon ampullatus","Bottlenose whale",57.59847053,-3.982980949,"Nairn, Scotland",1914,"01/05/1914"
"16","1914/29","Lagenorhynchus albirostris","White-beaked dolphin",57.41178866,-1.835190794,"Aberdeen, Scotland",1914,"22/06/1914"
"17","1914/33","Lagenorhynchus albirostris","White-beaked dolphin",58.47607032,-3.109485418,"Caithness, Scotland",1914,"13/07/1914"
"18","1914/44","Balaenoptera borealis","Sei whale",58.60833078,-3.671429589,"Caithness, Scotland",1914,"21/09/1914"
"19","1914/49","Balaenoptera physalus","Fin whale",58.64474835,-3.025227303,"Caithness, Scotland",1914,"17/11/1914"
"20","1914/52","Delphinus delphis","Common dolphin",56.79334001,-2.333998392,"Kincardineshire, Scotland",1914,"04/12/1914"
"21","1915/2","Ziphius cavirostris","Cuvier's Beaked whale",58.59853718,-3.5195089,"Caithness, Scotland",1915,"14/03/1915"
"22","1915/11","Phocoena phocoena","Harbour porpoise",56.55524013,-2.579197733,"Angus, Scotland",1915,"07/07/1915"
"23","1915/17","Mesoplodon bidens","Sowerby's Beaked whale",57.48919851,-4.230700216,"Inverness-shire, Scotland",1915,"13/08/1915"
"24","1916/-","Balaenoptera musculus","Blue whale",56.10715623,-6.191858507,"Argyllshire, Scotland",1916,NA
"25","1916/4","Phocoena phocoena","Harbour porpoise",56.73146482,-2.286047227,"Angus, Scotland",1916,"10/03/1916"
"26","1916/16","Hyperoodon ampullatus","Bottlenose whale",56.49887236,-2.706679744,"Angus, Scotland",1916,"07/08/1916"
"27","1916/19","Balaenoptera acutorostrata","Minke whale",56.06028208,-2.722728493,"Berwick, Scotland",1916,"26/08/1916"
"28","1916/22","Hyperoodon ampullatus","Bottlenose whale",57.48869265,-7.049177082,"Western Isles, Scotland",1916,"03/10/1916"
"29","1916/26","Balaenoptera acutorostrata","Minke whale",58.59137055,-3.071840318,"Caithness, Scotland",1916,"18/10/1916"
"30","1917/4","Physeter macrocephalus","Sperm whale",58.27694943,-3.357343134,"Caithness, Scotland",1917,"23/05/1917"
"31","1917/15","Hyperoodon ampullatus","Bottlenose whale",58.60896274,-3.549227637,"Caithness, Scotland",1917,"26/07/1917"
"32","1917/17","Balaenoptera acutorostrata","Minke whale",55.93969745,-2.349030661,"Berwickshire, Scotland",1917,"01/08/1917"
"33","1917/18","Unknown mysticete","Unknown balaenopterid",56.00204462,-2.508353571,"E.Lothian, Scotland",1917,"02/08/1917"
"34","1918/1","Globicephala melas","Long-finned pilot whale",58.6456464,-3.025253631,"Caithness, Scotland",1918,"25/01/1918"
"35","1918/9a","Tursiops truncatus","Bottlenose dolphin",58.98660078,-2.957058106,"Orkney Islands, Scotland",1918,NA
"36","1918/15","Balaenoptera physalus","Fin whale",56.44766518,-2.374439336,"Angus, Scotland",1918,"03/07/1918"
"37","1918/16","Balaenoptera acutorostrata","Minke whale",56.92640976,-7.534046403,"Inverness, Scotland",1918,"26/07/1918"
"38","1918/17","Balaenoptera acutorostrata","Minke whale",56.47684421,-2.185089849,"Angus, Scotland",1918,"03/08/1918"
"39","1918/18","Balaenoptera acutorostrata","Minke whale",57.01919845,-2.156479918,"Kincardine, Scotland",1918,"05/08/1918"
"40","1918/24","Balaenoptera acutorostrata","Minke whale",57.34539911,-1.93353066,"Aberdeen, Scotland",1918,"19/08/1918"
