"","Year","Richness"
"1",1913,9
"2",1914,7
"3",1915,7
"4",1916,10
"5",1917,9
"6",1918,8
"7",1919,6
"8",1920,7
"9",1921,5
"10",1922,5
"11",1923,7
"12",1924,7
"13",1925,6
"14",1926,11
"15",1927,10
"16",1928,7
"17",1929,6
"18",1930,8
"19",1931,8
"20",1932,10
"21",1933,9
"22",1934,11
"23",1935,9
"24",1936,8
"25",1937,9
"26",1938,7
"27",1939,8
"28",1940,5
"29",1941,8
"30",1942,6
"31",1943,7
"32",1944,9
"33",1945,6
"34",1946,8
"35",1947,7
"36",1948,5
"37",1949,10
"38",1950,6
"39",1951,7
"40",1952,8
"41",1953,6
"42",1954,6
"43",1955,6
"44",1956,8
"45",1957,5
"46",1958,5
"47",1959,8
"48",1960,7
"49",1961,8
"50",1962,6
"51",1963,8
"52",1964,8
"53",1965,6
"54",1966,11
"55",1967,11
"56",1968,10
"57",1969,10
"58",1970,9
"59",1971,7
"60",1972,8
"61",1973,10
"62",1974,7
"63",1975,9
"64",1976,9
"65",1977,9
"66",1978,12
"67",1979,8
"68",1980,9
"69",1981,11
"70",1982,10
"71",1983,12
"72",1984,9
"73",1985,10
"74",1986,12
"75",1987,14
"76",1988,10
"77",1989,12
"78",1990,9
"79",1991,10
"80",1992,10
"81",1993,13
"82",1994,13
"83",1995,11
"84",1996,12
"85",1997,12
"86",1998,12
"87",1999,13
"88",2000,12
"89",2001,12
"90",2002,13
"91",2003,13
"92",2004,12
"93",2005,13
"94",2006,11
"95",2007,14
"96",2008,13
"97",2009,12
"98",2010,10
"99",2011,15
"100",2012,13
"101",2013,13
"102",2014,15
"103",2015,13
