Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
UNITED KINGDOM,"57,438,658","57,584,530","57,713,889","57,862,145","58,024,799","58,164,374","58,314,249","58,474,943","58,684,427","58,886,065","59,113,497","59,318,779","59,552,182","59,841,892","60,235,498","60,584,338","60,985,677","61,398,226","61,791,956"
GREAT BRITAIN,"55,831,363","55,961,267","56,078,337","56,218,438","56,375,668","56,502,623","56,642,988","56,797,174","57,005,421","57,203,121","57,424,178","57,622,138","57,849,554","58,131,570","58,511,090","58,842,719","59,226,529","59,623,223","60,003,060"
ENGLAND & WALES,"50,748,033","50,875,647","50,985,877","51,116,228","51,271,978","51,410,433","51,559,648","51,720,104","51,933,471","52,140,181","52,359,978","52,567,338","52,792,154","53,053,170","53,416,290","53,725,819","54,082,329","54,454,723","54,809,060"
ENGLAND,"47,875,035","47,997,973","48,102,319","48,228,781","48,383,461","48,519,129","48,664,777","48,820,583","49,032,872","49,233,311","49,449,746","49,649,096","49,863,324","50,109,707","50,466,162","50,763,893","51,106,181","51,464,646","51,809,741"
WALES,"2,872,998","2,877,674","2,883,558","2,887,447","2,888,517","2,891,304","2,894,871","2,899,521","2,900,599","2,906,870","2,910,232","2,918,242","2,928,830","2,943,463","2,950,128","2,961,926","2,976,148","2,990,077","2,999,319"
SCOTLAND,"5,083,330","5,085,620","5,092,460","5,102,210","5,103,690","5,092,190","5,083,340","5,077,070","5,071,950","5,062,940","5,064,200","5,054,800","5,057,400","5,078,400","5,094,800","5,116,900","5,144,200","5,168,500","5,194,000"
NORTHERN IRELAND,"1,607,295","1,623,263","1,635,552","1,643,707","1,649,131","1,661,751","1,671,261","1,677,769","1,679,006","1,682,944","1,689,319","1,696,641","1,702,628","1,710,322","1,724,408","1,741,619","1,759,148","1,775,003","1,788,896"
NORTH EAST,"2,586,986","2,591,333","2,593,948","2,588,661","2,582,715","2,576,450","2,568,066","2,560,883","2,550,314","2,543,421","2,540,090","2,540,426","2,540,418","2,540,942","2,547,917","2,552,720","2,560,435","2,570,648","2,584,262"
NORTH WEST,"6,843,039","6,841,029","6,846,740","6,838,904","6,827,940","6,809,646","6,794,378","6,792,173","6,773,115","6,774,223","6,772,985","6,776,896","6,798,883","6,818,740","6,838,874","6,852,012","6,863,673","6,874,118","6,897,905"
YORKSHIRE AND THE HUMBER,"4,936,100","4,949,033","4,954,142","4,960,087","4,960,575","4,961,254","4,957,561","4,957,703","4,956,325","4,958,609","4,976,643","5,002,169","5,029,229","5,066,880","5,110,768","5,146,439","5,181,753","5,217,466","5,258,114"
EAST MIDLANDS,"4,011,411","4,036,691","4,055,893","4,071,720","4,091,663","4,108,070","4,120,320","4,132,645","4,152,443","4,168,076","4,189,622","4,221,583","4,254,210","4,291,489","4,327,077","4,362,634","4,397,007","4,429,405","4,451,240"
WEST MIDLANDS,"5,229,699","5,237,375","5,245,930","5,249,295","5,256,911","5,263,046","5,262,278","5,271,352","5,271,959","5,269,626","5,280,727","5,293,885","5,309,767","5,323,900","5,347,210","5,362,203","5,378,358","5,408,429","5,431,079"
EAST,"5,121,052","5,142,589","5,154,369","5,177,915","5,205,700","5,232,760","5,266,915","5,302,028","5,338,722","5,374,972","5,400,463","5,429,760","5,468,395","5,500,386","5,551,163","5,593,231","5,648,710","5,717,358","5,766,625"
LONDON,"6,829,314","6,829,408","6,844,491","6,873,527","6,913,123","6,974,407","7,014,838","7,065,497","7,153,912","7,236,712","7,322,403","7,368,902","7,379,687","7,413,086","7,484,931","7,546,568","7,602,241","7,668,330","7,753,555"
SOUTH EAST,"7,629,186","7,656,594","7,673,172","7,711,594","7,762,978","7,800,406","7,853,102","7,888,838","7,955,124","7,990,598","8,023,449","8,043,003","8,079,882","8,114,638","8,172,890","8,224,273","8,295,507","8,368,508","8,435,718"
SOUTH WEST,"4,688,248","4,713,921","4,733,634","4,757,078","4,781,856","4,793,090","4,827,319","4,849,464","4,880,958","4,917,074","4,943,364","4,972,472","5,002,853","5,039,646","5,085,332","5,123,813","5,178,497","5,210,384","5,231,243"
WALES,"2,872,998","2,877,674","2,883,558","2,887,447","2,888,517","2,891,304","2,894,871","2,899,521","2,900,599","2,906,870","2,910,232","2,918,242","2,928,830","2,943,463","2,950,128","2,961,926","2,976,148","2,990,077","2,999,319"
