YEAR ,POPULATION,STRANDINGS ,,,,
1913,41.33,73,,,,
1914,41.7,55,,,,
1915,40.13,27,,,,
1916,39.29,31,,,,
1917,38.52,31,,,,
1918,38.29,45,,,,
1919,41.62,17,,,,
1920,42.38,40,,,,
1921,43.71,27,,,,
1922,44.33,25,,,,
1923,44.56,19,,,,
1924,44.89,61,,,,
1925,45.04,29,,,,
1926,45.22,77,,,,
1927,45.43,193,,,,
1928,45.58,52,,,,
1929,45.67,71,,,,
1930,45.87,26,,,,
1931,44.94,66,,,,
1932,46.33,63,,,,
1933,46.25,55,,,,
1934,46.66,84,,,,
1935,46.87,127,,,,
1936,46.46,41,,,,
1937,47.29,49,,,,
1938,47.49,62,,,,
1939,47.76,44,,,,
1940,48.22,20,,,,
1941,48.22,29,,,,
1942,48.4,19,,,,
1943,48.79,25,,,,
1944,49.02,39,,,,
1945,49.19,27,,,,
1946,49.22,25,,,,
1947,49.52,29,,,,
1948,50.02,28,,,,
1949,50.32,33,,,,
1950,50.61,281,,,,
1951,50.56,30,,,,
1952,50.72,21,,,,
1953,50.86,25,,,,
1954,51.04,28,,,,
1955,51.2,85,,,,
1956,51.4,48,,,,
1957,51.63,76,,,,
1958,51.84,13,,,,
1959,52.13,30,,,,
1960,52.37,38,,,,
1961,52.82,30,,,,
1962,53.34,21,,,,
1963,53.68,44,,,,
1964,54.07,42,,,,
1965,54.43,102,,,,
1966,54.74,37,,,,
1967,55.07,39,,,,
1968,55.28,53,,,,
1969,55.53,24,,,,
1970,55.41,39,,,,
1971,55.6,21,,,,
1972,55.79,27,,,,
1973,55.91,35,,,,
1974,55.93,57,,,,
1975,55.89,40,,,,
1976,55.89,53,,,,
1977,55.85,43,,,,
1978,55.82,58,,,,
1979,56.28,52,,,,
1980,56.34,55,,,,
1981,56.32,83,,,,
1982,56.32,88,,,,
1983,56.44,186,,,,
1984,56.6,46,,,,
1985,56.77,105,,,,
1986,56.93,95,,,,
1987,57.08,118,,,,
1988,57.26,119,,,,
1989,57.46,160,,,,
1990,57.68,185,,,,
1991,57.63,209,,,,
1992,57.58,434,,,,
1993,57.71,339,,,,
1994,57.86,392,,,,
1995,58.02,274,,,,
1996,58.16,368,,,,
1997,58.31,381,,,,
1998,58.47,398,,,,
1999,58.68,388,,,,
2000,58.89,433,,,,
2001,59.11,553,,,,
2002,59.32,673,,,,
2003,59.55,785,,,,
2004,59.84,809,,,,
2005,60.24,702,,,,
2006,60.58,748,,,,
2007,60.99,559,,,,
2008,61.4,586,,,,
2009,61.79,444,,,,
2010,62.77,410,,,,
2011,63.26,623,,,,
2012,63.7,600,,,,
2013,64.13,628,,,,
2014,61.64,599,,,,
2015,65.13,571,,,,
