"","Year","nn"
"1",1913,7
"2",1914,7
"3",1915,8
"4",1916,11
"5",1917,10
"6",1918,9
"7",1919,6
"8",1920,6
"9",1921,5
"10",1922,4
"11",1923,6
"12",1924,7
"13",1925,7
"14",1926,12
"15",1927,7
"16",1928,7
"17",1929,7
"18",1930,9
"19",1931,8
"20",1932,8
"21",1933,8
"22",1934,11
"23",1935,7
"24",1936,8
"25",1937,7
"26",1938,7
"27",1939,9
"28",1940,6
"29",1941,8
"30",1942,7
"31",1943,6
"32",1944,9
"33",1945,6
"34",1946,6
"35",1947,7
"36",1948,7
"37",1949,8
"38",1950,6
"39",1951,5
"40",1952,6
"41",1953,5
"42",1954,5
"43",1955,3
"44",1956,8
"45",1957,6
"46",1958,4
"47",1959,9
"48",1960,6
"49",1961,8
"50",1962,7
"51",1963,6
"52",1964,6
"53",1965,7
"54",1966,9
"55",1967,9
"56",1968,9
"57",1969,6
"58",1970,9
"59",1971,7
"60",1972,7
"61",1973,9
"62",1974,8
"63",1975,9
"64",1976,7
"65",1977,8
"66",1978,12
"67",1979,8
"68",1980,9
"69",1981,7
"70",1982,9
"71",1983,9
"72",1984,8
"73",1985,8
"74",1986,12
"75",1987,10
"76",1988,11
"77",1989,10
"78",1990,11
"79",1991,12
"80",1992,11
"81",1993,13
"82",1994,10
"83",1995,11
"84",1996,9
"85",1997,10
"86",1998,12
"87",1999,11
"88",2000,10
"89",2001,11
"90",2002,13
"91",2003,10
"92",2004,13
"93",2005,9
"94",2006,13
"95",2007,14
"96",2008,12
"97",2009,13
"98",2010,11
"99",2011,15
"100",2012,13
"101",2013,13
"102",2014,12
"103",2015,10
