,Year,Species,Total_events
1,1913,Balaenoptera acutorostrata,4
2,1913,Balaenoptera borealis,1
3,1913,Balaenoptera physalus,2
4,1913,Delphinus delphis,5
5,1913,Globicephala melas,1
6,1913,Grampus griseus,2
7,1913,Hyperoodon ampullatus,2
8,1913,Lagenorhynchus acutus,1
9,1913,Lagenorhynchus albirostris,1
10,1913,Phocoena phocoena,5
11,1913,Physeter macrocephalus,1
12,1913,Ziphius cavirostris,1
13,1914,Balaenoptera borealis,2
14,1914,Balaenoptera physalus,3
15,1914,Delphinus delphis,5
16,1914,Globicephala melas,1
17,1914,Hyperoodon ampullatus,5
18,1914,Lagenorhynchus albirostris,4
19,1914,Mesoplodon bidens,1
20,1914,Phocoena phocoena,19
21,1914,Tursiops truncatus,3
22,1915,Balaenoptera acutorostrata,2
23,1915,Balaenoptera physalus,1
24,1915,Delphinus delphis,3
25,1915,Globicephala melas,1
26,1915,Lagenorhynchus albirostris,1
27,1915,Mesoplodon bidens,1
28,1915,Phocoena phocoena,7
29,1915,Tursiops truncatus,1
30,1915,Ziphius cavirostris,2
31,1916,Balaenoptera acutorostrata,4
32,1916,Balaenoptera musculus,1
33,1916,Balaenoptera physalus,1
34,1916,Delphinus delphis,1
35,1916,Hyperoodon ampullatus,2
36,1916,Lagenorhynchus acutus,1
37,1916,Lagenorhynchus albirostris,1
38,1916,Mesoplodon bidens,1
39,1916,Orcinus orca,1
40,1916,Phocoena phocoena,5
41,1916,Physeter macrocephalus,1
42,1916,Tursiops truncatus,3
43,1916,Ziphius cavirostris,2
44,1917,Balaenoptera acutorostrata,2
45,1917,Balaenoptera physalus,1
46,1917,Delphinus delphis,3
47,1917,Grampus griseus,1
48,1917,Hyperoodon ampullatus,3
49,1917,Lagenorhynchus acutus,1
50,1917,Lagenorhynchus albirostris,2
51,1917,Mesoplodon mirus,1
52,1917,Phocoena phocoena,5
53,1917,Physeter macrocephalus,1
54,1917,Tursiops truncatus,3
55,1918,Balaenoptera acutorostrata,5
56,1918,Balaenoptera physalus,4
57,1918,Delphinus delphis,6
58,1918,Globicephala melas,3
59,1918,Hyperoodon ampullatus,2
60,1918,Lagenorhynchus acutus,1
61,1918,Lagenorhynchus albirostris,4
62,1918,Orcinus orca,3
63,1918,Phocoena phocoena,4
64,1918,Tursiops truncatus,11
65,1919,Balaenoptera acutorostrata,3
66,1919,Balaenoptera physalus,1
67,1919,Delphinus delphis,1
68,1919,Grampus griseus,1
69,1919,Lagenorhynchus acutus,1
70,1919,Lagenorhynchus albirostris,2
71,1919,Phocoena phocoena,5
72,1919,Ziphius cavirostris,1
73,1920,Balaenoptera musculus,2
74,1920,Balaenoptera physalus,1
75,1920,Delphinus delphis,1
76,1920,Globicephala melas,1
77,1920,Grampus griseus,1
78,1920,Lagenorhynchus albirostris,2
79,1920,Phocoena phocoena,10
80,1920,Tursiops truncatus,3
81,1920,Ziphius cavirostris,3
82,1921,Balaenoptera physalus,4
83,1921,Delphinus delphis,7
84,1921,Grampus griseus,1
85,1921,Lagenorhynchus albirostris,1
86,1921,Phocoena phocoena,8
87,1921,Tursiops truncatus,1
88,1922,Balaenoptera acutorostrata,1
89,1922,Balaenoptera physalus,2
90,1922,Delphinus delphis,1
91,1922,Grampus griseus,1
92,1922,Hyperoodon ampullatus,1
93,1922,Lagenorhynchus albirostris,3
94,1922,Phocoena phocoena,9
95,1923,Balaenoptera musculus,1
96,1923,Balaenoptera physalus,2
97,1923,Delphinus delphis,1
98,1923,Grampus griseus,1
99,1923,Hyperoodon ampullatus,2
100,1923,Lagenorhynchus albirostris,2
101,1923,Mesoplodon bidens,1
102,1923,Phocoena phocoena,4
103,1923,Stenella coeruleoalba,1
104,1924,Balaenoptera acutorostrata,2
105,1924,Balaenoptera physalus,2
106,1924,Delphinus delphis,2
107,1924,Globicephala melas,1
108,1924,Hyperoodon ampullatus,1
109,1924,Lagenorhynchus acutus,1
110,1924,Lagenorhynchus albirostris,5
111,1924,Orcinus orca,1
112,1924,Phocoena phocoena,11
113,1924,Tursiops truncatus,2
114,1925,Balaenoptera acutorostrata,3
115,1925,Balaenoptera borealis,2
116,1925,Balaenoptera physalus,1
117,1925,Delphinus delphis,4
118,1925,Hyperoodon ampullatus,1
119,1925,Lagenorhynchus acutus,1
120,1925,Lagenorhynchus albirostris,2
121,1925,Phocoena phocoena,9
122,1925,Tursiops truncatus,1
123,1926,Balaenoptera acutorostrata,5
124,1926,Balaenoptera physalus,1
125,1926,Delphinus delphis,5
126,1926,Globicephala melas,1
127,1926,Grampus griseus,1
128,1926,Hyperoodon ampullatus,2
129,1926,Lagenorhynchus acutus,1
130,1926,Lagenorhynchus albirostris,4
131,1926,Mesoplodon bidens,1
132,1926,Orcinus orca,2
133,1926,Phocoena phocoena,13
134,1926,Tursiops truncatus,2
135,1926,Ziphius cavirostris,3
136,1927,Balaenoptera acutorostrata,2
137,1927,Delphinus delphis,7
138,1927,Grampus griseus,2
139,1927,Hyperoodon ampullatus,1
140,1927,Lagenorhynchus acutus,1
141,1927,Lagenorhynchus albirostris,2
142,1927,Orcinus orca,3
143,1927,Phocoena phocoena,10
144,1927,Pseudorca crassidens,3
145,1927,Tursiops truncatus,4
146,1927,Ziphius cavirostris,1
147,1928,Balaenoptera acutorostrata,3
148,1928,Globicephala melas,1
149,1928,Grampus griseus,3
150,1928,Lagenorhynchus acutus,1
151,1928,Lagenorhynchus albirostris,3
152,1928,Mesoplodon bidens,1
153,1928,Phocoena phocoena,14
154,1928,Tursiops truncatus,11
155,1929,Balaenoptera acutorostrata,3
156,1929,Balaenoptera borealis,1
157,1929,Balaenoptera physalus,1
158,1929,Delphinus delphis,3
159,1929,Grampus griseus,1
160,1929,Lagenorhynchus acutus,2
161,1929,Phocoena phocoena,14
162,1929,Tursiops truncatus,2
163,1929,Ziphius cavirostris,3
164,1930,Balaenoptera acutorostrata,1
165,1930,Balaenoptera physalus,1
166,1930,Delphinus delphis,1
167,1930,Globicephala melas,1
168,1930,Grampus griseus,1
169,1930,Hyperoodon ampullatus,1
170,1930,Lagenorhynchus acutus,1
171,1930,Phocoena phocoena,7
172,1930,Tursiops truncatus,3
173,1930,Ziphius cavirostris,1
174,1931,Balaenoptera acutorostrata,1
175,1931,Delphinus delphis,2
176,1931,Globicephala melas,1
177,1931,Grampus griseus,1
178,1931,Hyperoodon ampullatus,1
179,1931,Lagenorhynchus albirostris,2
180,1931,Phocoena phocoena,7
181,1931,Tursiops truncatus,4
182,1931,Ziphius cavirostris,1
183,1932,Balaenoptera acutorostrata,4
184,1932,Balaenoptera physalus,1
185,1932,Delphinus delphis,4
186,1932,Globicephala melas,3
187,1932,Hyperoodon ampullatus,2
188,1932,Lagenorhynchus albirostris,1
189,1932,Mesoplodon bidens,1
190,1932,Orcinus orca,2
191,1932,Phocoena phocoena,21
192,1932,Tursiops truncatus,2
193,1932,Ziphius cavirostris,2
194,1933,Balaenoptera acutorostrata,2
195,1933,Delphinus delphis,5
196,1933,Globicephala melas,2
197,1933,Grampus griseus,5
198,1933,Lagenorhynchus acutus,2
199,1933,Lagenorhynchus albirostris,4
200,1933,Mesoplodon bidens,1
201,1933,Phocoena phocoena,18
202,1933,Tursiops truncatus,5
203,1933,Ziphius cavirostris,1
204,1934,Balaenoptera acutorostrata,1
205,1934,Delphinus delphis,6
206,1934,Globicephala melas,1
207,1934,Grampus griseus,2
208,1934,Hyperoodon ampullatus,3
209,1934,Lagenorhynchus albirostris,2
210,1934,Phocoena phocoena,24
211,1934,Physeter macrocephalus,1
212,1934,Pseudorca crassidens,4
213,1934,Stenella coeruleoalba,1
214,1934,Tursiops truncatus,6
215,1934,Ziphius cavirostris,2
216,1935,Balaenoptera acutorostrata,3
217,1935,Delphinus delphis,8
218,1935,Globicephala melas,1
219,1935,Grampus griseus,2
220,1935,Lagenorhynchus albirostris,2
221,1935,Mesoplodon mirus,1
222,1935,Orcinus orca,1
223,1935,Phocoena phocoena,18
224,1935,Pseudorca crassidens,11
225,1935,Tursiops truncatus,5
226,1935,Ziphius cavirostris,3
227,1936,Balaenoptera acutorostrata,1
228,1936,Delphinus delphis,2
229,1936,Globicephala melas,1
230,1936,Grampus griseus,1
231,1936,Hyperoodon ampullatus,3
232,1936,Lagenorhynchus albirostris,3
233,1936,Phocoena phocoena,18
234,1936,Physeter macrocephalus,1
235,1936,Tursiops truncatus,4
236,1937,Balaenoptera acutorostrata,1
237,1937,Delphinus delphis,9
238,1937,Grampus griseus,1
239,1937,Hyperoodon ampullatus,1
240,1937,Lagenorhynchus albirostris,3
241,1937,Orcinus orca,1
242,1937,Phocoena phocoena,14
243,1937,Physeter macrocephalus,1
244,1937,Stenella coeruleoalba,1
245,1937,Tursiops truncatus,1
246,1938,Balaenoptera acutorostrata,3
247,1938,Delphinus delphis,5
248,1938,Grampus griseus,4
249,1938,Hyperoodon ampullatus,4
250,1938,Mesoplodon bidens,1
251,1938,Phocoena phocoena,12
252,1938,Physeter macrocephalus,1
253,1938,Tursiops truncatus,3
254,1939,Balaenoptera acutorostrata,3
255,1939,Delphinus delphis,2
256,1939,Grampus griseus,5
257,1939,Hyperoodon ampullatus,3
258,1939,Lagenorhynchus albirostris,2
259,1939,Mesoplodon bidens,1
260,1939,Phocoena phocoena,15
261,1939,Physeter macrocephalus,1
262,1939,Stenella coeruleoalba,1
263,1939,Tursiops truncatus,6
264,1940,Balaenoptera acutorostrata,2
265,1940,Delphinus delphis,2
266,1940,Grampus griseus,2
267,1940,Mesoplodon bidens,1
268,1940,Orcinus orca,1
269,1940,Phocoena phocoena,5
270,1940,Tursiops truncatus,5
271,1941,Balaenoptera acutorostrata,2
272,1941,Delphinus delphis,1
273,1941,Grampus griseus,3
274,1941,Hyperoodon ampullatus,3
275,1941,Lagenorhynchus acutus,2
276,1941,Lagenorhynchus albirostris,1
277,1941,Orcinus orca,4
278,1941,Phocoena phocoena,3
279,1941,Tursiops truncatus,4
280,1942,Balaenoptera acutorostrata,1
281,1942,Balaenoptera physalus,1
282,1942,Delphinus delphis,1
283,1942,Globicephala melas,2
284,1942,Hyperoodon ampullatus,3
285,1942,Orcinus orca,1
286,1942,Phocoena phocoena,1
287,1942,Tursiops truncatus,3
288,1943,Balaenoptera acutorostrata,4
289,1943,Balaenoptera physalus,1
290,1943,Delphinus delphis,2
291,1943,Grampus griseus,1
292,1943,Hyperoodon ampullatus,1
293,1943,Lagenorhynchus albirostris,1
294,1943,Mesoplodon bidens,1
295,1943,Orcinus orca,4
296,1943,Phocoena phocoena,4
297,1943,Physeter macrocephalus,1
298,1943,Ziphius cavirostris,1
299,1944,Balaenoptera acutorostrata,1
300,1944,Balaenoptera physalus,2
301,1944,Delphinus delphis,2
302,1944,Globicephala melas,2
303,1944,Grampus griseus,1
304,1944,Hyperoodon ampullatus,1
305,1944,Lagenorhynchus albirostris,1
306,1944,Orcinus orca,4
307,1944,Phocoena phocoena,6
308,1944,Tursiops truncatus,2
309,1944,Ziphius cavirostris,2
310,1945,Balaenoptera acutorostrata,1
311,1945,Delphinus delphis,1
312,1945,Globicephala melas,1
313,1945,Grampus griseus,1
314,1945,Orcinus orca,1
315,1945,Phocoena phocoena,8
316,1945,Tursiops truncatus,8
317,1946,Balaenoptera acutorostrata,1
318,1946,Delphinus delphis,1
319,1946,Grampus griseus,3
320,1946,Hyperoodon ampullatus,2
321,1946,Lagenorhynchus acutus,1
322,1946,Lagenorhynchus albirostris,1
323,1946,Phocoena phocoena,6
324,1946,Physeter macrocephalus,2
325,1946,Tursiops truncatus,2
326,1947,Balaenoptera acutorostrata,5
327,1947,Delphinus delphis,3
328,1947,Globicephala melas,2
329,1947,Grampus griseus,1
330,1947,Hyperoodon ampullatus,2
331,1947,Lagenorhynchus albirostris,1
332,1947,Phocoena phocoena,10
333,1947,Tursiops truncatus,2
334,1948,Balaenoptera acutorostrata,5
335,1948,Balaenoptera borealis,1
336,1948,Balaenoptera physalus,1
337,1948,Hyperoodon ampullatus,2
338,1948,Lagenorhynchus albirostris,1
339,1948,Mesoplodon bidens,1
340,1948,Phocoena phocoena,8
341,1948,Tursiops truncatus,3
342,1949,Balaenoptera borealis,1
343,1949,Balaenoptera physalus,1
344,1949,Grampus griseus,2
345,1949,Hyperoodon ampullatus,2
346,1949,Lagenorhynchus acutus,1
347,1949,Lagenorhynchus albirostris,1
348,1949,Mesoplodon bidens,2
349,1949,Phocoena phocoena,5
350,1949,Tursiops truncatus,3
351,1949,Ziphius cavirostris,1
352,1950,Balaenoptera acutorostrata,2
353,1950,Delphinus delphis,3
354,1950,Globicephala melas,8
355,1950,Grampus griseus,3
356,1950,Lagenorhynchus albirostris,1
357,1950,Phocoena phocoena,8
358,1950,Tursiops truncatus,2
359,1951,Balaenoptera acutorostrata,3
360,1951,Delphinus delphis,1
361,1951,Globicephala melas,1
362,1951,Grampus griseus,4
363,1951,Hyperoodon ampullatus,1
364,1951,Lagenorhynchus albirostris,1
365,1951,Phocoena phocoena,9
366,1951,Tursiops truncatus,3
367,1952,Balaenoptera acutorostrata,6
368,1952,Delphinus delphis,2
369,1952,Grampus griseus,1
370,1952,Hyperoodon ampullatus,1
371,1952,Lagenorhynchus acutus,1
372,1952,Lagenorhynchus albirostris,1
373,1952,Mesoplodon bidens,1
374,1952,Phocoena phocoena,4
375,1952,Physeter macrocephalus,1
376,1952,Tursiops truncatus,4
377,1953,Balaenoptera acutorostrata,4
378,1953,Delphinus delphis,1
379,1953,Globicephala melas,3
380,1953,Hyperoodon ampullatus,1
381,1953,Lagenorhynchus albirostris,1
382,1953,Phocoena phocoena,9
383,1953,Tursiops truncatus,3
384,1954,Balaenoptera acutorostrata,2
385,1954,Grampus griseus,2
386,1954,Hyperoodon ampullatus,1
387,1954,Mesoplodon bidens,2
388,1954,Orcinus orca,2
389,1954,Phocoena phocoena,11
390,1954,Tursiops truncatus,5
391,1955,Globicephala melas,3
392,1955,Hyperoodon ampullatus,1
393,1955,Lagenorhynchus albirostris,1
394,1955,Phocoena phocoena,14
395,1955,Physeter macrocephalus,1
396,1955,Tursiops truncatus,2
397,1956,Balaenoptera acutorostrata,2
398,1956,Delphinus delphis,3
399,1956,Globicephala melas,4
400,1956,Hyperoodon ampullatus,2
401,1956,Lagenorhynchus acutus,1
402,1956,Lagenorhynchus albirostris,3
403,1956,Orcinus orca,1
404,1956,Phocoena phocoena,18
405,1956,Tursiops truncatus,2
406,1957,Balaenoptera acutorostrata,3
407,1957,Balaenoptera musculus,1
408,1957,Globicephala melas,2
409,1957,Orcinus orca,1
410,1957,Phocoena phocoena,18
411,1957,Tursiops truncatus,9
412,1957,Ziphius cavirostris,1
413,1958,Hyperoodon ampullatus,2
414,1958,Orcinus orca,1
415,1958,Phocoena phocoena,8
416,1958,Physeter macrocephalus,1
417,1958,Tursiops truncatus,2
418,1959,Balaenoptera acutorostrata,1
419,1959,Delphinus delphis,1
420,1959,Globicephala melas,2
421,1959,Hyperoodon ampullatus,1
