"","X","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"1",1,"1913/1","Ziphius cavirostris","Cuvier's Beaked whale",51.4995,-9.1175,"Co. Cork",1913,"13/02/1913"
"2",3,"1913/2","Globicephala melas","Long-finned pilot whale",50.72227152,-1.744973366,"Hampshire",1913,"06/03/1913"
"3",4,"1913/3","Lagenorhynchus acutus","White-sided dolphin",60.44977781,-1.605549405,"Fair Isle, Shetland Isles",1913,"06/03/1913"
"4",8,"1913/6","Balaenoptera physalus","Fin whale",58.67203558,-3.374386965,"Caithness, Scotland",1913,"08/07/1913"
"5",10,"1913/8","Phocoena phocoena","Harbour porpoise",54.62191569,-1.078397772,"Yorkshire",1913,"01/08/1913"
"6",11,"1913/8","Phocoena phocoena","Harbour porpoise",54.62191569,-1.078397772,"Yorkshire",1913,"01/08/1913"
"7",12,"1913/8","Phocoena phocoena","Harbour porpoise",54.62191569,-1.078397772,"Yorkshire",1913,"01/08/1913"
"8",13,"1913/8","Phocoena phocoena","Harbour porpoise",54.62191569,-1.078397772,"Yorkshire",1913,"01/08/1913"
"9",14,"1913/8","Phocoena phocoena","Harbour porpoise",54.62191569,-1.078397772,"Yorkshire",1913,"01/08/1913"
"10",16,"1913/14","Balaenoptera physalus","Fin whale",55.1446,-8.1907,"Co. Donegal",1913,"09/08/1913"
"11",18,"1913/15","Phocoena phocoena","Harbour porpoise",54.62191569,-1.078397772,"Yorkshire",1913,"11/08/1913"
"12",19,"1913/16","Phocoena phocoena","Harbour porpoise",54.62191569,-1.078397772,"Yorkshire",1913,"11/08/1913"
"13",22,"1913/19","Grampus griseus","Risso's dolphin",49.20119693,-2.019896829,"Jersey, Channel Isles",1913,"23/08/1913"
"14",23,"1913/20","Balaenoptera acutorostrata","Minke whale",57.34539911,-1.93353066,"Aberdeen, Scotland",1913,"24/08/1913"
"15",24,"1913/22","Phocoena phocoena","Harbour porpoise",60.44977781,-1.605549405,"Shetland Isles, Scotland",1913,"28/08/1913"
"16",36,"1913/34","Delphinus delphis","Common dolphin",51.00373224,0.982865411,"Kent",1913,"22/09/1913"
"17",37,"1913/35","Balaenoptera acutorostrata","Minke whale",56.55343565,-2.580797076,"Angus, Scotland",1913,"26/09/1913"
"18",38,"1913/36","Phocoena phocoena","Harbour porpoise",52.02026838,1.441543036,"Suffolk",1913,"26/09/1913"
"19",39,"1913/37","Phocoena phocoena","Harbour porpoise",52.02026838,1.441543036,"Suffolk",1913,"26/09/1913"
"20",40,"1913/38","Hyperoodon ampullatus","Bottlenose whale",53.14503612,0.355191236,"Lincolnshire",1913,"27/09/1913"
"21",46,"1913/44","Phocoena phocoena","Harbour porpoise",51.38175044,1.310001397,"Kent",1913,"02/10/1913"
"22",48,"1913/004","Delphinus delphis","common dolphin",54.18,-7.83,"Co. Donegal",1913,"02/10/1913"
"23",52,"1913/50","Delphinus delphis","Common dolphin",53.554,-10.0971,"Co. Galway",1913,"05/10/1913"
"24",58,"1913/55","Balaenoptera acutorostrata","Minke whale",57.66819516,-7.344552614,"Inverness, Scotland",1913,"10/10/1913"
"25",59,"1913/56","Hyperoodon ampullatus","Bottlenose whale",50.78556571,-0.630903629,"Sussex",1913,"11/10/1913"
"26",64,"1913/61","Lagenorhynchus albirostris","White-beaked dolphin",55.86063208,-6.32357187,"Argyll, Scotland",1913,"15/10/1913"
"27",68,"1913/65","Balaenoptera acutorostrata","Minke whale",56.26033202,-2.61832577,"Fife, Scotland",1913,"31/10/1913"
"28",70,"1913/67","Grampus griseus","Risso's dolphin",50.26562943,-3.650229459,"Devon",1913,"04/11/1913"
"29",71,"1913/67","Grampus griseus","Risso's dolphin",50.26562943,-3.650229459,"Devon",1913,"04/11/1913"
"30",72,"1913/69","Delphinus delphis","Common dolphin",55.1961,-7.8914,"Co. Donegal",1913,"21/11/1913"
"31",74,"1913/71","Delphinus delphis","Common dolphin",53.9636,-10.0586,"Co. Mayo",1913,"01/12/1913"
"32",77,"1913/76","Physeter macrocephalus","Sperm whale",57.58633013,-4.067650645,"Inverness, Scotland",1913,"18/12/1913"
"33",80,"1913/007","Balaenoptera borealis","sei whale",51.64,-8.577,"Co. Cork",1913,"31/12/1913"
"34",81,"1914/1","Phocoena phocoena","Harbour porpoise",51.18548864,1.408996762,"Kent",1914,"13/01/1914"
"35",84,"1914/5","Delphinus delphis","Common dolphin",52.2082,-6.7522,"Co. Wexford",1914,"09/02/1914"
"36",86,"1914/6","Phocoena phocoena","Harbour porpoise",50.7794077,0.037108252,"Sussex",1914,"12/02/1914"
"37",88,"1914/8","Delphinus delphis","Common dolphin",52.1808,-6.3539,"Co. Wexford",1914,"18/02/1914"
"38",91,"1914/10","Balaenoptera physalus","Fin whale",51.7694,-10.1017,"Co. Kerry",1914,"28/02/1914"
"39",92,"1914/004","Balaenoptera borealis","sei whale",51.77,-10.13,"Co. Kerry",1914,"28/02/1914"
"40",95,"1914/12","Globicephala melas","Long-finned pilot whale",55.53887774,-1.6386808,"Northumberland",1914,"03/03/1914"
"41",96,"1914/13","Hyperoodon ampullatus","Bottlenose whale",55.13580372,-1.505850219,"Northumberland",1914,"11/03/1914"
"42",98,"1914/14","Phocoena phocoena","Harbour porpoise",53.571,-6.0906,"Co. Dublin",1914,"27/03/1914"
"43",103,"1914/17A","Delphinus delphis","Common dolphin",57.47465806,-4.289866843,"Inverness, Scotland",1914,"12/04/1914"
"44",104,"1914/18","Phocoena phocoena","Harbour porpoise",51.5495619,0.846042838,"Essex",1914,"21/04/1914"
"45",105,"1914/19","Phocoena phocoena","Harbour porpoise",53.34364192,0.268462387,"Lincolnshire",1914,"27/04/1914"
"46",106,"1914/20","Phocoena phocoena","Harbour porpoise",51.39630333,0.932856414,"Kent",1914,"01/05/1914"
"47",107,"1914/20A","Hyperoodon ampullatus","Bottlenose whale",57.59847053,-3.982980949,"Nairn, Scotland",1914,"01/05/1914"
"48",108,"1914/21","Phocoena phocoena","Harbour porpoise",52.78691229,1.61455665,"Norfolk",1914,"02/05/1914"
"49",109,"1914/22","Phocoena phocoena","Harbour porpoise",52.78691229,1.61455665,"Norfolk",1914,"07/06/1914"
"50",110,"1914/23","Phocoena phocoena","harbour porpoise",55.2948,-7.418,"Co. Donegal",1914,"11/06/1914"
"51",111,"1914/24","Lagenorhynchus albirostris","White-beaked dolphin",54.61628407,-1.047550172,"Yorkshire",1914,"11/06/1914"
