,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
1,Ziphius cavirostris,Cuvier's Beaked whale,51.4995,-9.1175,"Cork, EIRE",1913,13/02/1913
2,Globicephala melas,Long-finned pilot whale,50.72227152,-1.744973366,Hampshire,1913,06/03/1913
3,Lagenorhynchus acutus,White-sided dolphin,60.44977781,-1.605549405,"Fair Isle, Shetland Isles",1913,06/03/1913
4,NA,NA,52.1049,-9.8976,"Kerry, EIRE",1913,21/04/1913
5,NA,NA,53.34364192,0.268462387,Lincolnshire,1913,06/05/1913
6,Balaenoptera physalus,Fin whale,58.67203558,-3.374386965,"Caithness, Scotland",1913,08/07/1913
7,NA,NA,57.59815056,-3.762044958,"Ross & Cromarty, Scotland",1913,25/07/1913
8,Phocoena phocoena,Harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913
9,Phocoena phocoena,Harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913
10,Phocoena phocoena,Harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913
11,Phocoena phocoena,Harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913
12,Phocoena phocoena,Harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913
13,NA,NA,55.07264096,-1.447110532,Northumberland,1913,08/08/1913
14,Balaenoptera physalus,Fin whale,55.1446,-8.1907,"Donegal, EIRE",1913,09/08/1913
15,Phocoena phocoena,Harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,11/08/1913
16,Phocoena phocoena,Harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,11/08/1913
17,NA,NA,55.04374785,-5.0509199,"Ayr, Scotland",1913,12/08/1913
18,NA,NA,52.85196601,1.484746092,Norfolk,1913,21/08/1913
19,Grampus griseus,Risso's dolphin,49.20119693,-2.019896829,"Jersey, Channel Isles",1913,23/08/1913
20,Balaenoptera acutorostrata,Minke whale,57.34539911,-1.93353066,"Aberdeen, Scotland",1913,24/08/1913
21,Phocoena phocoena,Harbour porpoise,60.44977781,-1.605549405,"Shetland Isles, Scotland",1913,28/08/1913
22,Unknown balaenoptera,Unknown balaenopterid,53.76752787,-6.18640282,Yorkshire,1913,06/09/1913
23,NA,NA,52.85196601,1.484746092,Norfolk,1913,07/09/1913
24,NA,NA,52.78691229,1.61455665,Norfolk,1913,07/09/1913
25,NA,NA,52.82606959,1.539102051,Norfolk,1913,08/09/1913
26,Unknown odontocete,Unknown odontocete,52.94571824,1.222764354,Norfolk,1913,08/09/1913
27,Unknown odontocete,Unknown odontocete,53.30812209,0.292099847,Lincolnshire,1913,08/09/1913
28,Unknown odontocete,Unknown odontocete,52.85196601,1.484746092,Norfolk,1913,11/09/1913
