,X,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date,Total
1,1,ziphius cavirostris,cuvier's beaked whale,51.4995,-9.1175,"Cork, EIRE",1913,13/02/1913,73
2,2,globicephala melas,long-finned pilot whale,50.72227152,-1.744973366,Hampshire,1913,06/03/1913,73
3,3,lagenorhynchus acutus,white-sided dolphin,60.44977781,-1.605549405,"Fair Isle, Shetland Isles",1913,06/03/1913,73
4,4,NA,NA,52.1049,-9.8976,"Kerry, EIRE",1913,21/04/1913,73
5,5,NA,NA,53.34364192,0.268462387,Lincolnshire,1913,06/05/1913,73
6,6,balaenoptera physalus,fin whale,58.67203558,-3.374386965,"Caithness, Scotland",1913,08/07/1913,73
7,7,NA,NA,57.59815056,-3.762044958,"Ross & Cromarty, Scotland",1913,25/07/1913,73
8,8,phocoena phocoena,harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913,73
9,9,phocoena phocoena,harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913,73
10,10,phocoena phocoena,harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913,73
11,11,phocoena phocoena,harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913,73
12,12,phocoena phocoena,harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,01/08/1913,73
13,13,NA,NA,55.07264096,-1.447110532,Northumberland,1913,08/08/1913,73
14,14,balaenoptera physalus,fin whale,55.1446,-8.1907,"Donegal, EIRE",1913,09/08/1913,73
15,15,phocoena phocoena,harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,11/08/1913,73
16,16,phocoena phocoena,harbour porpoise,54.62191569,-1.078397772,Yorkshire,1913,11/08/1913,73
17,17,NA,NA,55.04374785,-5.0509199,"Ayr, Scotland",1913,12/08/1913,73
18,18,NA,NA,52.85196601,1.484746092,Norfolk,1913,21/08/1913,73
19,19,grampus griseus,risso's dolphin,49.20119693,-2.019896829,"Jersey, Channel Isles",1913,23/08/1913,73
20,20,balaenoptera acutorostrata,minke whale,57.34539911,-1.93353066,"Aberdeen, Scotland",1913,24/08/1913,73
21,21,phocoena phocoena,harbour porpoise,60.44977781,-1.605549405,"Shetland Isles, Scotland",1913,28/08/1913,73
22,22,unknown balaenoptera ,unknown balaenopterid,53.76752787,-6.18640282,Yorkshire,1913,06/09/1913,73
23,23,NA,NA,52.85196601,1.484746092,Norfolk,1913,07/09/1913,73
24,24,NA,NA,52.78691229,1.61455665,Norfolk,1913,07/09/1913,73
25,25,NA,NA,52.82606959,1.539102051,Norfolk,1913,08/09/1913,73
26,26,unknown odontocete ,unknown odontocete,52.94571824,1.222764354,Norfolk,1913,08/09/1913,73
27,27,unknown odontocete ,unknown odontocete,53.30812209,0.292099847,Lincolnshire,1913,08/09/1913,73
28,28,unknown odontocete ,unknown odontocete,52.85196601,1.484746092,Norfolk,1913,11/09/1913,73
29,29,unknown odontocete ,unknown odontocete,53.4899967,-3.055160234,Lancashire,1913,13/09/1913,73
30,30,unknown odontocete ,unknown odontocete,53.47239305,0.162296952,Lincolnshire,1913,18/09/1913,73
31,31,unknown odontocete ,unknown odontocete,55.50285538,-1.613678014,Northumberland,1913,19/09/1913,73
32,32,unknown odontocete ,unknown odontocete,50.06830446,-5.078853852,Cornwall,1913,20/09/1913,73
33,33,delphinus delphis,common dolphin,51.00373224,0.982865411,Kent,1913,22/09/1913,73
34,34,balaenoptera acutorostrata,minke whale,56.55343565,-2.580797076,"Angus, Scotland",1913,26/09/1913,73
35,35,phocoena phocoena,harbour porpoise,52.02026838,1.441543036,Suffolk,1913,26/09/1913,73
36,36,phocoena phocoena,harbour porpoise,52.02026838,1.441543036,Suffolk,1913,26/09/1913,73
