"","Year","nn"
"1",1913,13
"2",1914,11
"3",1915,10
"4",1916,15
"5",1917,13
"6",1918,11
"7",1919,9
"8",1920,10
"9",1921,8
"10",1922,9
"11",1923,11
"12",1924,9
"13",1925,10
"14",1926,15
"15",1927,12
"16",1928,10
"17",1929,11
"18",1930,12
"19",1931,10
"20",1932,13
"21",1933,12
"22",1934,12
"23",1935,11
"24",1936,11
"25",1937,10
"26",1938,9
"27",1939,9
"28",1940,7
"29",1941,11
"30",1942,10
"31",1943,9
"32",1944,11
"33",1945,7
"34",1946,10
"35",1947,9
"36",1948,8
"37",1949,12
"38",1950,8
"39",1951,8
"40",1952,9
"41",1953,8
"42",1954,7
"43",1955,6
"44",1956,11
"45",1957,7
"46",1958,5
"47",1959,10
"48",1960,8
"49",1961,9
"50",1962,9
"51",1963,10
"52",1964,10
"53",1965,8
"54",1966,12
"55",1967,13
"56",1968,13
"57",1969,11
"58",1970,10
"59",1971,9
"60",1972,9
"61",1973,11
"62",1974,10
"63",1975,11
"64",1976,10
"65",1977,12
"66",1978,14
"67",1979,10
"68",1980,13
"69",1981,15
"70",1982,14
"71",1983,14
"72",1984,13
"73",1985,15
"74",1986,15
"75",1987,15
"76",1988,14
"77",1989,16
"78",1990,13
"79",1991,13
"80",1992,13
"81",1993,15
"82",1994,16
"83",1995,14
"84",1996,14
"85",1997,14
"86",1998,14
"87",1999,16
"88",2000,15
"89",2001,16
"90",2002,15
"91",2003,15
"92",2004,16
"93",2005,16
"94",2006,15
"95",2007,18
"96",2008,16
"97",2009,16
"98",2010,14
"99",2011,19
"100",2012,18
"101",2013,18
"102",2014,18
"103",2015,17
