YEAR,CORNWALL,DEVON,SOMERSET,ARGYLL,INVERCLYDE ,AYRSHIRE ,SW ENGLAND ,W SCOTLAND ,,,,,,,,,,,,
1991,471549,658526,163135,93520,91390,251180,1293210,436090,,,,,,,,,,,,
1992,473042,662617,163023,91680,90850,250800,1298682,433330,,,,,,,,,,,,
1993,474736,665394,162221,91170,89890,250940,1302351,432000,,,,,,,,,,,,
1994,477402,670558,162980,91910,89320,251100,1310940,432330,,,,,,,,,,,,
1995,480320,673075,163511,91950,88640,251420,1316906,432010,,,,,,,,,,,,
1996,480880,675534,163586,91740,87060,251150,1320000,429950,,,,,,,,,,,,
1997,485114,681358,164738,91720,86460,251310,1331210,429490,,,,,,,,,,,,
1998,488031,687448,165962,91670,85840,250790,1341441,428300,,,,,,,,,,,,
1999,492588,692295,167061,91640,85300,250010,1351944,426950,,,,,,,,,,,,
2000,497473,700886,168490,91050,84660,248650,1366849,424360,,,,,,,,,,,,
2001,502077,705568,169158,91306,84150,247980,1376803,423436,,,,,,,,,,,,
2002,507721,709570,170138,91020,83730,247580,1387429,422330,,,,,,,,,,,,
2003,512486,714609,171021,90930,83300,247860,1398116,422090,,,,,,,,,,,,
2004,515981,721440,171557,90580,82690,248340,1408978,421610,,,,,,,,,,,,
2005,520018,728645,172620,90350,82680,248720,1421283,421750,,,,,,,,,,,,
2006,523865,735716,173060,90870,82320,248890,1432641,422080,,,,,,,,,,,,
2007,528604,743581,175450,90790,82110,249800,1447635,422700,,,,,,,,,,,,
2008,529205,746814,177416,89910,82000,250520,1453435,422430,,,,,,,,,,,,
2009,533284,747418,177738,89450,81670,250320,1458440,421440,,,,,,,,,,,,
2010,533522,747564,176638,88620,81510,250400,1457724,420530,,,,,,,,,,,,
2011,533760,747709,175538,88930,81220,251070,1457007,421220,,,,,,,,,,,,
2012,537914,753157,177643,86910,80690,250490,1468714,418090,,,,,,,,,,,,
2013,541319,758052,180097,88050,80340,249810,1479468,418200,,,,,,,,,,,,
2014,278557,765302,182021,87650,79890,249010,1225880,416550,,,,,,,,,,,,
2015,549404,773077,184874,86890,79500,248530,1507355,414920,,,,,,,,,,,,
