YEAR,CORNWALL,DEVON,SOMERSET,DORSET,ARGYLL,INVERCLYDE ,AYRSHIRE ,WESTERN ISLES,SW ENGLAND ,W SCOTLAND ,,,,,,,,,,,,
1991,471549,658526,163135,365166,93520,91390,251180,29300,1658376,465390,,,,,,,,,,,,
1992,473042,662617,163023,367183,91680,90850,250800,29200,1665865,462530,,,,,,,,,,,,
1993,474736,665394,162221,368964,91170,89890,250940,29300,1671315,461300,,,,,,,,,,,,
1994,477402,670558,162980,372995,91910,89320,251100,29100,1683935,461430,,,,,,,,,,,,
1995,480320,673075,163511,376829,91950,88640,251420,28800,1693735,460810,,,,,,,,,,,,
1996,480880,675534,163586,379482,91740,87060,251150,28600,1699482,458550,,,,,,,,,,,,
1997,485114,681358,164738,381881,91720,86460,251310,27900,1713091,457390,,,,,,,,,,,,
1998,488031,687448,165962,384031,91670,85840,250790,27500,1725472,455800,,,,,,,,,,,,
1999,492588,692295,167061,385397,91640,85300,250010,27200,1737341,454150,,,,,,,,,,,,
2000,497473,700886,168490,389684,91050,84660,248650,26800,1756533,451160,,,,,,,,,,,,
2001,502077,705568,169158,391497,91306,84150,247980,26500,1768300,449936,,,,,,,,,,,,
2002,507721,709570,170138,394757,91020,83730,247580,26200,1782186,448530,,,,,,,,,,,,
2003,512486,714609,171021,397192,90930,83300,247860,26100,1795308,448190,,,,,,,,,,,,
2004,515981,721440,171557,398426,90580,82690,248340,26260,1807404,447870,,,,,,,,,,,,
2005,520018,728645,172620,400070,90350,82680,248720,26370,1821353,448120,,,,,,,,,,,,
2006,523865,735716,173060,402003,90870,82320,248890,26350,1834644,448430,,,,,,,,,,,,
2007,528604,743581,175450,405329,90790,82110,249800,26300,1852964,449000,,,,,,,,,,,,
2008,529205,746814,177416,405763,89910,82000,250520,26200,1859198,448630,,,,,,,,,,,,
2009,533284,747418,177738,404049,89450,81670,250320,26180,1862489,447620,,,,,,,,,,,,
2010,533522,747564,176638,408931,88620,81510,250400,27600,1866655,448130,,,,,,,,,,,,
2011,533760,747709,175538,413813,88930,81220,251070,27684,1870820,448904,,,,,,,,,,,,
2012,537914,753157,177643,414940,86910,80690,250490,27560,1883654,445650,,,,,,,,,,,,
2013,541319,758052,180097,416721,88050,80340,249810,27400,1896189,445600,,,,,,,,,,,,
2014,545335,765302,182021,418269,87650,79890,249010,27250,1910927,443800,,,,,,,,,,,,
2015,549404,773077,184874,420585,86890,79500,248530,27070,1927940,441990,,,,,,,,,,,,
