Spec.No.,S.W.No.,Mass_Single,Fam_Genus,species,Date,County,Location,Grid ref,Sex,Length Imp.,Length Met.,Condition,in Collections,year,sequ,lett,Entered,Updated,Count,MCS,BMNH,Rect.CoNAord.,Latitude,Longitude,Other refs,age,Old County,GRef Source,By Catch,Rep.Source,SMRU animal,SMRU No,RLaw,IoZ London,JBaker,VSimpson,CBRU,RJReid,NMS No,Irish,Other,Comb_other_ref,Year_val,Month_val,Day_val,Aggregated_Date,Name Common,Name Current Sci ,Beak Len (m),Beak-Blowhole(m),Snout-mid BF (m),Tail-mid BF (m),BF base Len (m),BF max Height(m),Tail span (m),Tail Depth (m),Tail Curve (m),Keel/T.Stock (m),Flipper Len (m),Flipper Wid (m),Body Girth (m),Gen Slit Len (m),Gen Slit-anus(m),Teeth Top Jaw,Teeth Low Jaw,Teeth Diam mm,Baleen Plate clr,Baleen Fring clr,Country Code,C.of Death,Parasites,Comment
53,1913/1,S,Ziphius,cavirostris,13-Feb-13,"Cork, EIRE",Unionhall (Tralong beach),W224280,F,26'0'',7.92m*,dead,"skull, skeleton",1913,1,NA,02-Nov-90,23-Dec-08,566,ZK0120,ZK0120,NA,51.4995,-9.1175,NA,NA,S.Ireland,*BMNH LEJ,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,2,13,19130213,Cuvier's Beaked whale,Ziphius cavirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,NA,a)Cuvier's Beaked Whale b)E=-1014900m N=6685600m
54,1913/2,S,Globicephala,melaena,06-Mar-13,Hampshire,Christchurch,SZ18009150,NA,18'0'',5.49m*,NA,NA,1913,2,NA,02-Nov-90,23-Dec-08,1123,ZK0079,ZK0079,41800009150,50.72227152,-1.744973366,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,3,6,19130306,LongNAfinned Pilot whale,Globicephala melas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Long-finned Pilot Whale
55,1913/3,S,Lagenorhynchus,acutus,06-Mar-13,"Fair Isle, Shetland Isles",NA ,HU21707400,NA,6'6'',1.98m*,NA,NA,1913,3,NA,02-Nov-90,23-Dec-08,1,ZK0058,ZK0058,42170117400,60.44977781,-1.605549405,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,3,6,19130306,WhiteNAsided dolphin,Lagenorhynchus acutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,White-sided Dolphin
56,1913/4,S,cetacean,sp.indet.,21-Apr-13,"Kerry, EIRE",Cromane,V700965,NA,NA,NA,decayed,NA,1913,4,NA,02-Nov-90,23-Dec-08,2882,ZK0039,ZK0149,NA,52.1049,-9.8976,NA,NA,S.Ireland,*BMNH LEJ,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,4,21,19130421,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,NA,a)Unidentified Cetaceans b)E=-1101700m N=6785400
57,1913/5,S,cetacean,sp.indet.,06-May-13,Lincolnshire,Mablethorpe,TF51008540,NA,14'0'',4.27m*,decayed,NA,1913,5,NA,02-Nov-90,23-Dec-08,2883,ZK0039,ZK0149,55100038540,53.34364192,0.268462387,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,5,6,19130506,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Unidentified Cetaceans
58,1913/6,S,Balaenoptera,physalus,08-Jul-13,"Caithness, Scotland",Dunnet Head,ND20307680,NA,69'0'',21.03m,dead,NA,1913,6,NA,02-Nov-90,23-Dec-08,2609,ZK0135,ZK0135,32030097680,58.67203558,-3.374386965,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,7,8,19130708,Fin whale,Balaenoptera physalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Fin Whale
59,1913/7,S,cetacean,sp.indet.,25-Jul-13,"Ross & Cromarty, Scotland",Tarbat Ness,NH94705780,NA,20'NA30',6.1mNA9.14m*,decayed,NA,1913,7,NA,02-Nov-90,23-Dec-08,2884,ZK0039,ZK0149,29470085780,57.59815056,-3.762044958,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,7,25,19130725,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Unidentified Cetaceans
60,1913/8,m,Phocoena,phocoena?,01-Aug-13,Yorkshire,Coatham,NZ59502560,NA,NA,NA,NA,NA,1913,8,NA,02-Nov-90,27-Apr-09,1809,ZK0085?,ZK0085?,45950052560,54.62191569,-1.078397772,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,8,1,19130801,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,a)1st info 1913/8-12 b)Common Porpoise
61,1913/8,m,Phocoena,phocoena?,01-Aug-13,Yorkshire,Coatham,NZ59502560,NA,NA,NA,NA,NA,1913,8,NA,02-Nov-90,27-Apr-09,4110,ZK0085?,ZK0085?,45950052560,54.62191569,-1.078397772,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,8,1,19130801,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,a)1st info 1913/9 (of 1913/8-12) b)Common Porpoise
62,1913/8,m,Phocoena,phocoena?,01-Aug-13,Yorkshire,Coatham,NZ59502560,NA,NA,NA,NA,NA,1913,8,NA,02-Nov-90,27-Apr-09,4111,ZK0085?,ZK0085?,45950052560,54.62191569,-1.078397772,NA,NA,NA,BMNH DKP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,8,1,19130801,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,a)1st info 1913/10 (of 1913/8-12) b)Common Porpoise
