,Year,Max_K_index
1,1913,5
2,1914,6
3,1915,8
4,1916,7
5,1917,7
6,1918,7
7,1919,7
8,1920,8
9,1921,9
10,1922,6
11,1923,6
12,1924,6
13,1925,6
14,1926,9
15,1927,7
16,1928,9
17,1929,8
18,1930,7
19,1931,7
20,1932,7
21,1933,7
22,1934,6
23,1935,6
24,1936,6
25,1937,7
26,1938,9
27,1939,8
28,1940,9
29,1941,9
30,1942,8
31,1943,7
32,1944,9
33,1945,6
34,1946,9
35,1947,8
36,1948,8
37,1949,9
38,1950,9
39,1951,9
40,1952,8
41,1953,7
42,1954,7
43,1955,8
44,1956,9
45,1957,9
46,1958,9
47,1959,9
48,1960,9
49,1961,9
50,1962,7
51,1963,9
52,1964,7
53,1965,6
54,1966,8
55,1967,9
56,1968,8
57,1969,8
58,1970,9
59,1971,8
60,1972,9
61,1973,8
62,1974,8
63,1975,7
64,1976,8
65,1977,7
66,1978,8
67,1979,8
68,1980,7
69,1981,9
70,1982,9
71,1983,8
72,1984,7
73,1985,8
74,1986,9
75,1987,6
76,1988,7
77,1989,9
78,1990,8
79,1991,9
80,1992,8
81,1993,7
82,1994,8
83,1995,8
84,1996,6
85,1997,7
86,1998,8
87,1999,7
88,2000,9
89,2001,9
90,2002,7
91,2003,9
92,2004,9
93,2005,8
94,2006,7
95,2007,5
96,2008,6
97,2009,5
98,2010,6
99,2011,7
100,2012,7
101,2013,7
102,2014,6
103,2015,7
