#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
1,29/09/2017,2017,common dolphin,Delphinus delphis,Rosslare,Co. Wexford,52.27,-6.38,T102145,5035,2017_189,Seal Rescue Ireland -  Tony Murray -  Stephanie Levesque, YES
2,28/09/2017,2017,sperm whale,Physeter macrocephalus ,Mweenish Island Carna,Co. Galway,53.29,-9.84,L770282,5034,2017_188,Sean O'Callaghan -  Mary Einniu -  Proinsias Hernon -  Breandan Hernon, NO
3,17/09/2017,2017,Risso's dolphin,Grampus griseus,Kinvara Bay,Co. Galway,53.17,-8.987,M340138,5031,2017_186,Sabine Springer, NO
4,17/09/2017,2017,whale species,whale species,Cloonagh Beach Ballinfull,Co. Sligo,54.37,-8.62,G595470,5032,2017_187,Kevin Deering -  Aoife Hegarty -  Don Cotton, NO
5,10/09/2017,2017,pilot whale,Globicephala melas,Doonbeg,Co. Clare,52.749,-9.499,Q988674,5028,2017_184,Stephanie Levesque, YES
6,09/09/2017,2017,striped dolphin,Stenella coeruleoalba,Quilty,Co. Clare,52.818,-9.456,R018750,5029,2017_185,Simon Berrow, NO
7,06/09/2017,2017,dolphin species,dolphin species,Dingle Harbour,Co. Kerry,52.124,-10.261,V451993,5027,2017_183,Paddy O' Dwyer, NO
8,05/09/2017,2017,common dolphin,Delphinus delphis,Culdaff Inishowen Peninsula,Co. Donegal,55.295,-7.154,C537501,5026,2017_182,Trish Murphy -  Stephanie Levesque, NO
9,03/09/2017,2017,harbour porpoise,Phocoena phocoena,Skerries,Co. Dublin,53.577,-6.103,O256602,5025,2017_181,Nick O'Brien -  Brian Mc Nally -  Stiofan de Barra, NO
10,02/09/2017,2017,whale species,whale species,Muckross Head Donegal Bay,Co. Donegal,54.616,-8.584,G622743,5024,2017_180,Paul Hanna, NO
11,01/09/2017,2017,leatherback turtle,leatherback turtle,Ballycastle Bay,Co. Antrim,55.206,-6.234,D124413,5023,LBT01092017,Gary Burrows/DAERA, NO
12,30/08/2017,2017,pilot whale,Globicephala melas,Doogort Achill Island,Co. Mayo,54.01,-10.02,F675090,5021,2017_178,Suzanne Leahy, NO
13,30/08/2017,2017,common dolphin,Delphinus delphis,Falcarragh,Co. Donegal,55.177,-8.025,B984366,5022,2017-179,Alex Newton, NO
14,30/08/2017,2017,leatherback turtle,leatherback turtle,Renvyle ,Co. Galway,53.61,-10.05,L644641,5030,Lbt30082017,Dermot Breen, NO
15,25/08/2017,2017,striped dolphin,Stenella coeruleoalba,Maharees,Co. Kerry,52.3,-10.04,Q608186,5020,2017_177,Brian Mc Nally -  Fiacc O'Brolchain, NO
16,24/08/2017,2017,dolphin species possibly harbour porpoise,dolphin species possibly Phocoena phocoena,Inver Bay,Co. Donegal,54.647,-8.286,G815776,5016,2017_173,Deane James, NO
17,24/08/2017,2017,common dolphin,Delphinus delphis,Ballinskelligs,Co. Kerry,51.844,-10.24,V456680,5017,2017_174,Mick O' Connell, NO
18,23/08/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Inch Dingle Bay,Co. Kerry,52.142,-9.985,Q641007,5018,2017_175,Shaun Hennessy, NO
19,21/08/2017,2017,common dolphin,Delphinus delphis,Tramore,Co. Waterford,52.158,-7.141,S587010,5012,2017_169,Tony Larkin, NO
20,20/08/2017,2017,common dolphin,Delphinus delphis,Tralee Bay,Co. Kerry,54.246,-9.847,Q738120,5011,2017_168,Guy Hulbert -  Stephanie Levesque, NO
21,20/08/2017,2017,common dolphin,Delphinus delphis,Smerwick Harbour,Co. Kerry,52.216,-10.354,Q391097,5014,2017_171,Neil Mulcahy -  Nick Massett, NO
22,19/08/2017,2017,minke whale,Balaenoptera acutorostrata,Gweebarra Bay,Co. Donegal,54.888,-8.389,B750046,5010,2017_167,John Mc Kee -  Helen Stewart, NO
23,19/08/2017,2017,striped dolphin,Stenella coeruleoalba,Drumcliff,Co. Sligo,54.33,-8.62,G596430,5013,2017_170,Don Cotton, NO
24,19/08/2017,2017,harbour porpoise,Phocoena phocoena,Donabate,Co. Dublin,53.476,-6.117,O250489,5015,2017_172,Pat Mc Evoy, NO
25,18/08/2017,2017,striped dolphin,Stenella coeruleoalba,Carrickfinn Strand,Co. Donegal,55.057,-8.324,B792233,5019,2017_176,David Friel, YES
