Year ,Ship numbers,Ship gross weight (tons) ,,,,,,,,,,,
1950,3092,17198,,,,,,,,,,,
1951,3056,17196,,,,,,,,,,,
1952,3014,17264,,,,,,,,,,,
1953,3016,17467,,,,,,,,,,,
1954,3041,18016,,,,,,,,,,,
1955,3041,18208,,,,,,,,,,,
1956,3041,18484,,,,,,,,,,,
1957,3031,18833,,,,,,,,,,,
1958,3007,19245,,,,,,,,,,,
1959,2950,19805,,,,,,,,,,,
1960,2902,20202,,,,,,,,,,,
1961,2808,20497,,,,,,,,,,,
1962,2689,20554,,,,,,,,,,,
1963,2538,20396,,,,,,,,,,,
1964,2473,20428,,,,,,,,,,,
1965,2401,20382,,,,,,,,,,,
1966,2319,20522,,,,,,,,,,,
1967,2181,20375,,,,,,,,,,,
1968,2058,20730,,,,,,,,,,,
1969,2002,22274,,,,,,,,,,,
1970,1977,24061,,,,,,,,,,,
1971,1875,25177,,,,,,,,,,,
1972,1798,26940,,,,,,,,,,,
1973,1776,29106,,,,,,,,,,,
1974,1767,30795,,,,,,,,,,,
1975,1682,31489,,,,,,,,,,,
1976,1573,29839,,,,,,,,,,,
1977,1545,30061,,,,,,,,,,,
1978,1421,28078,,,,,,,,,,,
1979,1305,25232,,,,,,,,,,,
1980,1275,25769,,,,,,,,,,,
1981,1118,22117,,,,,,,,,,,
1982,985,19233,,,,,,,,,,,
1983,866,15894,,,,,,,,,,,
1984,777,14312,,,,,,,,,,,
1985,693,12208,,,,,,,,,,,
1986,546,8046,,,,,,,,,,,
1987,506,7059,,,,,,,,,,,
1988,482,6603,,,,,,,,,,,
1989,450,6025,,,,,,,,,,,
1990,427,5512,,,,,,,,,,,
1991,409,4963,,,,,,,,,,,
1992,363,4831,,,,,,,,,,,
1993,344,4670,,,,,,,,,,,
1994,360,5488,,,,,,,,,,,
1995,365,5761,,,,,,,,,,,
1996,377,6057,,,,,,,,,,,
1997,392,7108,,,,,,,,,,,
1998,416,7048,,,,,,,,,,,
1999,421,7436,,,,,,,,,,,
2000,471,9521,,,,,,,,,,,
2001,534,10653,,,,,,,,,,,
2002,610,12497,,,,,,,,,,,
2003,723,15982,,,,,,,,,,,
2004,754,16902,,,,,,,,,,,
2005,795,18801,,,,,,,,,,,
2006,814,19753,,,,,,,,,,,
2007,816,20603,,,,,,,,,,,
2008,842,22673,,,,,,,,,,,
2009,884,25814,,,,,,,,,,,
2010,861,27284,,,,,,,,,,,
2011,871,29328,,,,,,,,,,,
2012,825,29940,,,,,,,,,,,
2013,758,28742,,,,,,,,,,,
2014,708,26966,,,,,,,,,,,
2015,689,27043,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
