"","Year","Storms"
"1",1913,0
"2",1914,1
"3",1915,0
"4",1916,1
"5",1917,0
"6",1918,0
"7",1919,0
"8",1920,1
"9",1921,1
"10",1922,0
"11",1923,0
"12",1924,0
"13",1925,0
"14",1926,0
"15",1927,1
"16",1928,4
"17",1929,1
"18",1930,0
"19",1931,1
"20",1932,0
"21",1933,1
"22",1934,0
"23",1935,0
"24",1936,2
"25",1937,3
"26",1938,6
"27",1939,1
"28",1940,0
"29",1941,0
"30",1942,0
"31",1943,0
"32",1944,0
"33",1945,1
"34",1946,0
"35",1947,0
"36",1948,0
"37",1949,2
"38",1950,1
"39",1951,1
"40",1952,1
"41",1953,1
"42",1954,1
"43",1955,0
"44",1956,1
"45",1957,1
"46",1958,0
"47",1959,0
"48",1960,0
"49",1961,1
"50",1962,1
"51",1963,0
"52",1964,1
"53",1965,1
"54",1966,0
"55",1967,3
"56",1968,1
"57",1969,1
"58",1970,0
"59",1971,0
"60",1972,1
"61",1973,3
"62",1974,3
"63",1975,0
"64",1976,1
"65",1977,0
"66",1978,1
"67",1979,3
"68",1980,1
"69",1981,2
"70",1982,0
"71",1983,2
"72",1984,1
"73",1985,0
"74",1986,3
"75",1987,1
"76",1988,2
"77",1989,4
"78",1990,8
"79",1991,2
"80",1992,1
"81",1993,3
"82",1994,1
"83",1995,0
"84",1996,2
"85",1997,1
"86",1998,2
"87",1999,3
"88",2000,1
"89",2001,1
"90",2002,2
"91",2003,0
"92",2004,1
"93",2005,3
"94",2006,1
"95",2007,3
"96",2008,1
"97",2009,0
"98",2010,2
"99",2011,4
"100",2012,1
"101",2013,6
"102",2014,8
"103",2015,6
